,property_link,suburb,address,property_type,price,attributes,closest_school
37,https://www.domain.com.au/2-moloney-court-berwick-vic-3806-15397821,BERWICK VIC 3806,"2 Moloney Court, BERWICK VIC 3806",House,$440 p.w.,"['3 Beds', '2 Baths', '1 Parking']",0.7 km away
38,https://www.domain.com.au/14-31-33-burnt-street-nunawading-vic-3131-16107426,NUNAWADING VIC 3131,"14/31-33 Burnt Street, NUNAWADING VIC 3131",House,$400 per week,"['2 Beds', '1 Bath', '1 Parking']",1.8 km away
39,https://www.domain.com.au/44-granthorn-street-shepparton-vic-3630-16107412,SHEPPARTON VIC 3630,"44 Granthorn Street, SHEPPARTON VIC 3630",House,$400 pw,"['3 Beds', '1 Bath', '2 Parking']",0.5 km away
40,https://www.domain.com.au/22-gramercy-boulevard-point-cook-vic-3030-16107411,POINT COOK VIC 3030,"22 Gramercy Boulevard, POINT COOK VIC 3030",House,$600 pw,"['5 Beds', '3 Baths', '2 Parking']",1.2 km away
41,https://www.domain.com.au/95-wenhams-lane-wangaratta-vic-3677-16107397,WANGARATTA VIC 3677,"95 Wenhams Lane, WANGARATTA VIC 3677",House,$550 pw,"['3 Beds', '2 Baths', '4 Parking']",1 km away
42,https://www.domain.com.au/2-bicentennial-court-doncaster-east-vic-3109-16107396,DONCASTER EAST VIC 3109,"2 Bicentennial Court, DONCASTER EAST VIC 3109",House,$900.00,"['5 Beds', '2 Baths', '2 Parking']",0.6 km away
43,https://www.domain.com.au/2-ethereal-way-sandhurst-vic-3977-10189908,SANDHURST VIC 3977,"2 Ethereal Way, SANDHURST VIC 3977",House,$750.00 per week,"['4 Beds', '3 Baths', '2 Parking']",1.2 km away
44,https://www.domain.com.au/16-jester-court-kings-park-vic-3021-16107384,KINGS PARK VIC 3021,"16 Jester Court, KINGS PARK VIC 3021",House,$380 per week,"['4 Beds', '1 Bath', '3 Parking']",0.2 km away
45,https://www.domain.com.au/39-hovell-street-echuca-vic-3564-12021943,ECHUCA VIC 3564,"39 Hovell Street, ECHUCA VIC 3564",House,$440 per week,"['4 Beds', '2 Baths', '2 Parking']",0.6 km away
46,https://www.domain.com.au/30-toyon-road-kalkallo-vic-3064-16107382,KALKALLO VIC 3064,"30 Toyon Road, KALKALLO VIC 3064",House,$430 per week pw,"['4 Beds', '2 Baths', '1 Parking']",15.6 km away
47,https://www.domain.com.au/29-suncroft-drive-lalor-vic-3075-16107381,LALOR VIC 3075,"29 Suncroft Drive, LALOR VIC 3075",House,$550 per week pw,"['4 Beds', '2 Baths', '2 Parking']",0.4 km away
48,https://www.domain.com.au/17-margate-avenue-frankston-vic-3199-16107375,FRANKSTON VIC 3199,"17 Margate Avenue, FRANKSTON VIC 3199",House,$440,"['3 Beds', '1 Bath', '2 Parking']",0.7 km away
49,https://www.domain.com.au/16-george-street-sunshine-vic-3020-16107374,SUNSHINE VIC 3020,"16 George Street, SUNSHINE VIC 3020",House,$450 PW - Location and Convenience,"['4 Beds', '1 Bath', '1 Parking']",1 km away
50,https://www.domain.com.au/6-rawlings-ave-ferntree-gully-vic-3156-16107368,FERNTREE GULLY VIC 3156,"6 Rawlings Ave, FERNTREE GULLY VIC 3156",House,$420 weekly,"['3 Beds', '2 Baths', '2 Parking']",0.3 km away
51,https://www.domain.com.au/35-brentwick-drive-craigieburn-vic-3064-11115665,CRAIGIEBURN VIC 3064,"35 Brentwick Drive, CRAIGIEBURN VIC 3064",House,$480 Per week,"['4 Beds', '2 Baths', '2 Parking']",0.1 km away
52,https://www.domain.com.au/1-2-anderson-street-pakenham-vic-3810-16107356,PAKENHAM VIC 3810,"1/2 Anderson Street, PAKENHAM VIC 3810",House,$390 per week,"['3 Beds', '1 Bath', '1 Parking']",1 km away
53,https://www.domain.com.au/5-zelkova-street-kalkallo-vic-3064-16107350,KALKALLO VIC 3064,"5 Zelkova Street, KALKALLO VIC 3064",House,$520 per week,"['4 Beds', '2 Baths', '2 Parking']",7.3 km away
54,https://www.domain.com.au/14-amesbury-avenue-wyndham-vale-vic-3024-16107347,WYNDHAM VALE VIC 3024,"14 Amesbury Avenue, WYNDHAM VALE VIC 3024",House,$450,"['4 Beds', '2 Baths', '2 Parking', '626m² ']",0.4 km away
55,https://www.domain.com.au/26-hastings-road-hawthorn-east-vic-3123-16107339,HAWTHORN EAST VIC 3123,"26 Hastings Road, HAWTHORN EAST VIC 3123",House,$810.00,"['3 Beds', '1 Bath', '− Parking']",0.6 km away
56,https://www.domain.com.au/26-hastings-road-hawthorn-east-vic-3123-16107338,HAWTHORN EAST VIC 3123,"26 Hastings Road, HAWTHORN EAST VIC 3123",House,$810.00,"['3 Beds', '1 Bath', '− Parking']",0.6 km away
57,https://www.domain.com.au/19-hilbert-road-airport-west-vic-3042-16107336,AIRPORT WEST VIC 3042,"19 Hilbert Road, AIRPORT WEST VIC 3042",House,$520 Per Week,"['4 Beds', '2 Baths', '2 Parking']",1.1 km away
58,https://www.domain.com.au/33-ardenal-crescent-lalor-vic-3075-16107315,LALOR VIC 3075,"33 Ardenal Crescent, LALOR VIC 3075",House,$480 per week,"['4 Beds', '2 Baths', '2 Parking']",1.2 km away
59,https://www.domain.com.au/10-higgins-court-breakwater-vic-3219-16107308,BREAKWATER VIC 3219,"10 Higgins Court, BREAKWATER VIC 3219",House,$380 per week,"['3 Beds', '1 Bath', '1 Parking']",0.3 km away
60,https://www.domain.com.au/1461-hopkins-highway-purnim-vic-3278-16107301,PURNIM VIC 3278,"1461 Hopkins Highway, PURNIM VIC 3278",House,$350 PW,"['3 Beds', '1 Bath', '2 Parking']",5.6 km away
61,https://www.domain.com.au/4-stradbroke-drive-st-albans-vic-3021-15544832,ST ALBANS VIC 3021,"4 Stradbroke Drive, ST ALBANS VIC 3021",House,$370 per week,"['3 Beds', '1 Bath', '2 Parking']",0.4 km away
62,https://www.domain.com.au/8-jenkin-street-brunswick-vic-3056-16107288,BRUNSWICK VIC 3056,"8 Jenkin Street, BRUNSWICK VIC 3056",House,$925.00,"['2 Beds', '2 Baths', '1 Parking']",0.6 km away
63,https://www.domain.com.au/46-langridge-street-middle-park-vic-3206-16107283,MIDDLE PARK VIC 3206,"46 Langridge Street, MIDDLE PARK VIC 3206",House,$1150.00 per week,"['2 Beds', '2 Baths', '− Parking']",1 km away
64,https://www.domain.com.au/3-18-bayview-road-officer-vic-3809-16107275,OFFICER VIC 3809,"3/18 Bayview Road, OFFICER VIC 3809",House,$495,"['4 Beds', '2 Baths', '2 Parking']",0.4 km away
65,https://www.domain.com.au/1-willanjie-court-bundoora-vic-3083-16107273,BUNDOORA VIC 3083,"1 Willanjie Court, BUNDOORA VIC 3083",House,"$450pw / $1,955pcm","['3 Beds', '1 Bath', '2 Parking', '538m² ']",0.7 km away
66,https://www.domain.com.au/39-austin-street-werribee-vic-3030-16107263,WERRIBEE VIC 3030,"39 Austin Street, WERRIBEE VIC 3030",House,$360,"['3 Beds', '1 Bath', '1 Parking']",1.1 km away
67,https://www.domain.com.au/16-battalion-drive-mildura-vic-3500-15136921,MILDURA VIC 3500,"16 Battalion Drive, MILDURA VIC 3500",House,$480,"['4 Beds', '2 Baths', '4 Parking']",0.2 km away
68,https://www.domain.com.au/123-graham-road-viewbank-vic-3084-14128711,VIEWBANK VIC 3084,"123 Graham Road, VIEWBANK VIC 3084",House,$480 per week,"['2 Beds', '1 Bath', '3 Parking', '693m² ']",0.6 km away
69,https://www.domain.com.au/19-waranga-crescent-broadmeadows-vic-3047-16107255,BROADMEADOWS VIC 3047,"19 Waranga Crescent, BROADMEADOWS VIC 3047",House,$350 pw,"['3 Beds', '1 Bath', '1 Parking']",0.3 km away
70,https://www.domain.com.au/15-nicole-court-bell-park-vic-3215-16107254,BELL PARK VIC 3215,"15 Nicole Court, BELL PARK VIC 3215",House,$440 p.w.,"['3 Beds', '2 Baths', '1 Parking']",0.5 km away
71,https://www.domain.com.au/6-berrima-street-oakleigh-east-vic-3166-15137796,OAKLEIGH EAST VIC 3166,"6 Berrima Street, OAKLEIGH EAST VIC 3166",House,$450,"['3 Beds', '1 Bath', '2 Parking']",1.2 km away
72,https://www.domain.com.au/37-larool-crescent-sunshine-west-vic-3020-16107247,SUNSHINE WEST VIC 3020,"37 Larool Crescent, SUNSHINE WEST VIC 3020",House,$445,"['3 Beds', '1 Bath', '1 Parking']",0.7 km away
73,https://www.domain.com.au/24-ormonde-esp-melton-west-vic-3337-15390141,MELTON WEST VIC 3337,"24 Ormonde Esp, MELTON WEST VIC 3337",House,$415,"['4 Beds', '2 Baths', '2 Parking']",0.7 km away
74,https://www.domain.com.au/41-liston-street-glen-iris-vic-3146-16107234,GLEN IRIS VIC 3146,"41 Liston Street, GLEN IRIS VIC 3146",House,$610,"['3 Beds', '1 Bath', '2 Parking']",0.6 km away
75,https://www.domain.com.au/101-peel-street-windsor-vic-3181-16107231,WINDSOR VIC 3181,"101 Peel Street, WINDSOR VIC 3181",House,$525 pw,"['2 Beds', '1 Bath', '− Parking']",0.5 km away
76,https://www.domain.com.au/48-brunning-street-st-kilda-east-vic-3183-16107230,ST KILDA EAST VIC 3183,"48 Brunning Street, ST KILDA EAST VIC 3183",House,$570 pw,"['2 Beds', '1 Bath', '1 Parking']",0.6 km away
77,https://www.domain.com.au/12-sherford-way-melton-south-vic-3338-11300773,MELTON SOUTH VIC 3338,"12 Sherford Way, MELTON SOUTH VIC 3338",House,$380 Per Week,"['4 Beds', '2 Baths', '2 Parking']",1.9 km away
78,https://www.domain.com.au/455-geelong-road-yarraville-vic-3013-16107208,YARRAVILLE VIC 3013,"455 Geelong Road, YARRAVILLE VIC 3013",House,$450pw,"['2 Beds', '1 Bath', '2 Parking']",0.7 km away
79,https://www.domain.com.au/13-windsor-drive-lysterfield-vic-3156-16107200,LYSTERFIELD VIC 3156,"13 Windsor Drive, LYSTERFIELD VIC 3156",House,"$1,200 per week","['7 Beds', '2 Baths', '2 Parking']",1.2 km away
80,https://www.domain.com.au/35-mccarthy-dr-golden-square-vic-3555-16107198,GOLDEN SQUARE VIC 3555,"35 McCarthy Dr, GOLDEN SQUARE VIC 3555",House,$480 weekly,"['4 Beds', '2 Baths', '2 Parking']",0.8 km away
81,https://www.domain.com.au/10-willow-court-bellfield-vic-3081-16107194,BELLFIELD VIC 3081,"10 Willow Court, BELLFIELD VIC 3081",House,$355 pw,"['2 Beds', '1 Bath', '1 Parking']",1 km away
82,https://www.domain.com.au/9-maplewood-circuit-truganina-vic-3029-16107189,TRUGANINA VIC 3029,"9 Maplewood Circuit, TRUGANINA VIC 3029",House,$375.00 Per Week,"['3 Beds', '2 Baths', '1 Parking']",1.9 km away
83,https://www.domain.com.au/8-huntingdale-avenue-eaglehawk-vic-3556-14819115,EAGLEHAWK VIC 3556,"8 Huntingdale Avenue, EAGLEHAWK VIC 3556",House,$510.00 per week,"['3 Beds', '2 Baths', '2 Parking']",1.4 km away
84,https://www.domain.com.au/2-deauville-lane-deer-park-vic-3023-16107181,DEER PARK VIC 3023,"2 Deauville Lane, DEER PARK VIC 3023",House,$425,"['4 Beds', '2 Baths', '2 Parking']",1.1 km away
85,https://www.domain.com.au/27-george-street-sandringham-vic-3191-15763221,SANDRINGHAM VIC 3191,"27 George Street, SANDRINGHAM VIC 3191",House,$875,"['3 Beds', '2 Baths', '2 Parking']",0.5 km away
86,https://www.domain.com.au/2-18-cook-road-mitcham-vic-3132-16107177,MITCHAM VIC 3132,"2/18 Cook Road, MITCHAM VIC 3132",House,$460.00,"['2 Beds', '2 Baths', '2 Parking']",0.5 km away
87,https://www.domain.com.au/20-dianchi-drive-wyndham-vale-vic-3024-16107175,WYNDHAM VALE VIC 3024,"20 Dianchi Drive, WYNDHAM VALE VIC 3024",House,$430 Per Week,"['4 Beds', '2 Baths', '2 Parking']",1.4 km away
88,https://www.domain.com.au/5-trethowan-street-mount-pleasant-vic-3350-16107166,MOUNT PLEASANT VIC 3350,"5 Trethowan Street, MOUNT PLEASANT VIC 3350",House,$380 per week,"['3 Beds', '1 Bath', '2 Parking']",0.1 km away
89,https://www.domain.com.au/35-wilkinson-st-mernda-vic-3754-16107165,MERNDA VIC 3754,"35 Wilkinson St, MERNDA VIC 3754",House,$400 weekly,"['4 Beds', '2 Baths', '2 Parking']",1.9 km away
90,https://www.domain.com.au/33-marrubak-way-bonshaw-vic-3352-16107150,BONSHAW VIC 3352,"33 Marrubak Way, BONSHAW VIC 3352",House,$380,"['3 Beds', '2 Baths', '4 Parking']",1.9 km away
91,https://www.domain.com.au/16-admans-avenue-seaford-vic-3198-16107134,SEAFORD VIC 3198,"16 Admans Avenue, SEAFORD VIC 3198",House,$580 pw,"['4 Beds', '2 Baths', '1 Parking']",0.3 km away
92,https://www.domain.com.au/6-vines-road-hamlyn-heights-vic-3215-16107132,HAMLYN HEIGHTS VIC 3215,"6 Vines Road, HAMLYN HEIGHTS VIC 3215",House,$470,"['4 Beds', '2 Baths', '1 Parking']",0.5 km away
93,https://www.domain.com.au/2-treacle-road-manor-lakes-vic-3024-16107131,MANOR LAKES VIC 3024,"2 Treacle Road, MANOR LAKES VIC 3024",House,$410,"['4 Beds', '2 Baths', '2 Parking']",2 km away
94,https://www.domain.com.au/2-horne-street-brunswick-vic-3056-16107121,BRUNSWICK VIC 3056,"2 Horne Street, BRUNSWICK VIC 3056",House,"$1,050.00","['4 Beds', '2 Baths', '1 Parking']",0.7 km away
95,https://www.domain.com.au/25-coronation-street-kingsville-vic-3012-16107119,KINGSVILLE VIC 3012,"25 Coronation Street, KINGSVILLE VIC 3012",House,$490pw/$2190pcm,"['2 Beds', '1 Bath', '1 Parking']",0.9 km away
96,https://www.domain.com.au/7-sunset-place-hampton-park-vic-3976-16107112,HAMPTON PARK VIC 3976,"7 Sunset Place, HAMPTON PARK VIC 3976",House,$420,"['3 Beds', '2 Baths', '2 Parking']",0.6 km away
97,https://www.domain.com.au/25a-ohea-street-coburg-vic-3058-16107104,COBURG VIC 3058,"25a Ohea Street, COBURG VIC 3058",House,$680.00 per week,"['3 Beds', '2 Baths', '2 Parking']",0.5 km away
98,https://www.domain.com.au/10-frobisher-street-melton-vic-3337-16107101,MELTON VIC 3337,"10 Frobisher Street, MELTON VIC 3337",House,$320 per week,"['3 Beds', '1 Bath', '2 Parking']",0.4 km away
99,https://www.domain.com.au/12-frewin-street-epping-vic-3076-16107095,EPPING VIC 3076,"12 Frewin Street, EPPING VIC 3076",House,$420 Per week,"['3 Beds', '2 Baths', '2 Parking']",1.3 km away
100,https://www.domain.com.au/6-ivy-close-derrimut-vic-3026-15660372,DERRIMUT VIC 3026,"6 Ivy Close, DERRIMUT VIC 3026",House,$500,"['3 Beds', '2 Baths', '2 Parking']",0.6 km away
101,https://www.domain.com.au/3-jonathon-court-werribee-vic-3030-16107090,WERRIBEE VIC 3030,"3 Jonathon Court, WERRIBEE VIC 3030",House,$410.00 Per Week,"['4 Beds', '2 Baths', '2 Parking']",0.2 km away
102,https://www.domain.com.au/3-twilight-place-tarneit-vic-3029-16107086,TARNEIT VIC 3029,"3 Twilight Place, TARNEIT VIC 3029",House,$430,"['3 Beds', '2 Baths', '2 Parking']",0.5 km away
103,https://www.domain.com.au/1-225-sutton-street-warragul-vic-3820-16107079,WARRAGUL VIC 3820,"1/225 Sutton Street, WARRAGUL VIC 3820",House,$365 per week,"['3 Beds', '2 Baths', '2 Parking']",0.7 km away
104,https://www.domain.com.au/32a-fermanagh-road-camberwell-vic-3124-16107075,CAMBERWELL VIC 3124,"32a Fermanagh Road, CAMBERWELL VIC 3124",House,$720.00,"['3 Beds', '1 Bath', '− Parking']",0.3 km away
105,https://www.domain.com.au/25-devon-park-drive-highton-vic-3216-16107070,HIGHTON VIC 3216,"25 Devon Park Drive, HIGHTON VIC 3216",House,$560,"['5 Beds', '2 Baths', '2 Parking']",1.9 km away
106,https://www.domain.com.au/12-yarkon-way-point-cook-vic-3030-16107069,POINT COOK VIC 3030,"12 Yarkon Way, POINT COOK VIC 3030",House,$630,"['5 Beds', '3 Baths', '2 Parking']",1.2 km away
107,https://www.domain.com.au/3-tait-street-thornhill-park-vic-3335-16107059,THORNHILL PARK VIC 3335,"3 Tait Street, THORNHILL PARK VIC 3335",House,$380 pw,"['3 Beds', '2 Baths', '2 Parking']",4.8 km away
108,https://www.domain.com.au/89-grandview-road-wheelers-hill-vic-3150-16107040,WHEELERS HILL VIC 3150,"89 Grandview Road, WHEELERS HILL VIC 3150",House,$750 weekly,"['4 Beds', '2 Baths', '2 Parking']",1.1 km away
109,https://www.domain.com.au/2-16-hayden-road-clayton-south-vic-3169-16107031,CLAYTON SOUTH VIC 3169,"2/16 Hayden Road, CLAYTON SOUTH VIC 3169",House,$500 per week,"['3 Beds', '2 Baths', '1 Parking']",0.4 km away
110,https://www.domain.com.au/3-clarinda-street-bacchus-marsh-vic-3340-16107026,BACCHUS MARSH VIC 3340,"3 Clarinda Street, BACCHUS MARSH VIC 3340",House,$400,"['3 Beds', '1 Bath', '2 Parking', '715m² ']",1 km away
111,https://www.domain.com.au/206-801-whitehorse-road-mont-albert-vic-3127-16107016,MONT ALBERT VIC 3127,"206/801 Whitehorse Road, MONT ALBERT VIC 3127",House,$550,"['2 Beds', '2 Baths', '2 Parking']",0.8 km away
112,https://www.domain.com.au/34-rialton-avenue-blackburn-north-vic-3130-16107014,BLACKBURN NORTH VIC 3130,"34 Rialton Avenue, BLACKBURN NORTH VIC 3130",House,$650 per week,"['4 Beds', '2 Baths', '2 Parking']",0.7 km away
113,https://www.domain.com.au/43-park-road-glen-iris-vic-3146-16107007,GLEN IRIS VIC 3146,"43 Park Road, GLEN IRIS VIC 3146",House,650.00pw/ $2824.00pcm,"['3 Beds', '1 Bath', '3 Parking']",0.6 km away
114,https://www.domain.com.au/2-2-simmonds-street-hughesdale-vic-3166-16107002,HUGHESDALE VIC 3166,"2/2 Simmonds Street, HUGHESDALE VIC 3166",House,$850,"['3 Beds', '2 Baths', '1 Parking']",0.2 km away
115,https://www.domain.com.au/4-edwards-road-kennington-vic-3550-13503190,KENNINGTON VIC 3550,"4 Edwards Road, KENNINGTON VIC 3550",House,$330 Per Week,"['2 Beds', '1 Bath', '1 Parking']",0.3 km away
116,https://www.domain.com.au/215-patullos-road-lara-vic-3212-16106992,LARA VIC 3212,"215 Patullos Road, LARA VIC 3212",House,$750,"['3 Beds', '2 Baths', '− Parking', '34074.53m² ']",2.4 km away
117,https://www.domain.com.au/10-delmar-walk-cairnlea-vic-3023-16106991,CAIRNLEA VIC 3023,"10 Delmar Walk, CAIRNLEA VIC 3023",House,$500,"['4 Beds', '3 Baths', '2 Parking']",0.3 km away
118,https://www.domain.com.au/156-weller-street-geelong-west-vic-3218-16106982,GEELONG WEST VIC 3218,"156 Weller Street, GEELONG WEST VIC 3218",House,$750,"['3 Beds', '2 Baths', '2 Parking']",0.5 km away
119,https://www.domain.com.au/25-arabin-st-keilor-vic-3036-16106981,KEILOR VIC 3036,"25 Arabin St, KEILOR VIC 3036",House,$550.00,"['4 Beds', '3 Baths', '3 Parking']",0.2 km away
120,https://www.domain.com.au/16-flame-street-tarneit-vic-3029-16106973,TARNEIT VIC 3029,"16 Flame Street, TARNEIT VIC 3029",House,Enquire Now: $450 Per Week,"['3 Beds', '4 Baths', '2 Parking']",2.2 km away
