,property_link,suburb,address,property_type,price,attributes,closest_school
0,https://www.domain.com.au/14-curringa-ct-churchill-vic-3842-16107605,CHURCHILL VIC 3842,"14 Curringa Ct, CHURCHILL VIC 3842",House,$320 per week,"['3 Beds', '1 Bath', '− Parking']",1 km away
1,https://www.domain.com.au/31-suzanne-street-dandenong-vic-3175-16107599,DANDENONG VIC 3175,"31 Suzanne Street, DANDENONG VIC 3175",House,$465,"['3 Beds', '1 Bath', '1 Parking']",0.7 km away
2,https://www.domain.com.au/65-bruckner-drive-point-cook-vic-3030-16107598,POINT COOK VIC 3030,"65 Bruckner Drive, POINT COOK VIC 3030",House,$420 pw,"['4 Beds', '2 Baths', '2 Parking']",1.3 km away
3,https://www.domain.com.au/16-june-square-ringwood-north-vic-3134-16107589,RINGWOOD NORTH VIC 3134,"16 June Square, RINGWOOD NORTH VIC 3134",House,$620 per week,"['3 Beds', '2 Baths', '6 Parking']",0.5 km away
4,https://www.domain.com.au/1-76-mckean-street-box-hill-north-vic-3129-16107586,BOX HILL NORTH VIC 3129,"1/76 McKean Street, BOX HILL NORTH VIC 3129",House,$620 per week,"['4 Beds', '2 Baths', '1 Parking']",0.7 km away
5,https://www.domain.com.au/27-dudley-street-belmont-vic-3216-16107578,BELMONT VIC 3216,"27 Dudley Street, BELMONT VIC 3216",House,$560 per week,"['4 Beds', '2 Baths', '2 Parking']",0.4 km away
6,https://www.domain.com.au/1-neville-court-springvale-vic-3171-16107574,SPRINGVALE VIC 3171,"1 Neville Court, SPRINGVALE VIC 3171",House,$550 per week,"['3 Beds', '2 Baths', '3 Parking']",0.4 km away
7,https://www.domain.com.au/623-panmure-laang-road-laang-vic-3265-16107571,LAANG VIC 3265,"623 Panmure-Laang Road, LAANG VIC 3265",House,$400,"['3 Beds', '1 Bath', '4 Parking']",6.2 km away
8,https://www.domain.com.au/10-copper-beech-road-beaconsfield-vic-3807-16107568,BEACONSFIELD VIC 3807,"10 Copper Beech Road, BEACONSFIELD VIC 3807",House,"$460 per week/ $1,999 pcm","['3 Beds', '2 Baths', '2 Parking']",2.2 km away
9,https://www.domain.com.au/389-napier-street-fitzroy-vic-3065-16062597,FITZROY VIC 3065,"389 Napier Street, FITZROY VIC 3065",House,$840.00,"['4 Beds', '1 Bath', '1 Parking']",0.4 km away
10,https://www.domain.com.au/33-flagstaff-street-armstrong-creek-vic-3217-16107551,ARMSTRONG CREEK VIC 3217,"33 Flagstaff Street, ARMSTRONG CREEK VIC 3217",House,$470 per week,"['3 Beds', '2 Baths', '1 Parking']",1.6 km away
11,https://www.domain.com.au/6-jesson-crescent-dandenong-vic-3175-16107544,DANDENONG VIC 3175,"6 Jesson Crescent, DANDENONG VIC 3175",House,$ 425 PER WEEK,"['3 Beds', '1 Bath', '1 Parking']",1 km away
12,https://www.domain.com.au/33-strezlecki-grove-altona-meadows-vic-3028-16107538,ALTONA MEADOWS VIC 3028,"33 Strezlecki Grove, ALTONA MEADOWS VIC 3028",House,$350.00 per week,"['3 Beds', '2 Baths', '2 Parking']",0.8 km away
13,https://www.domain.com.au/107b-barwarre-road-marshall-vic-3216-16107536,MARSHALL VIC 3216,"107B Barwarre Road, MARSHALL VIC 3216",House,$580 per week,"['4 Beds', '2 Baths', '2 Parking', '394m² ']",0.6 km away
14,https://www.domain.com.au/69-chapel-street-st-kilda-vic-3182-16107526,ST KILDA VIC 3182,"69 Chapel Street, ST KILDA VIC 3182",House,$650 per week,"['3 Beds', '1 Bath', '1 Parking']",0.7 km away
15,https://www.domain.com.au/a-1-jennings-st-colac-vic-3250-16107513,COLAC VIC 3250,"A/1 Jennings St, COLAC VIC 3250",House,$380 weekly,"['2 Beds', '1 Bath', '1 Parking']",0.6 km away
16,https://www.domain.com.au/2-hailar-lane-lara-vic-3212-16107512,LARA VIC 3212,"2 Hailar Lane, LARA VIC 3212",House,$480.00,"['4 Beds', '2 Baths', '− Parking']",1.2 km away
17,https://www.domain.com.au/4-mason-way-berwick-vic-3806-16107503,BERWICK VIC 3806,"4 Mason Way, BERWICK VIC 3806",House,$ 460 PER WEEK,"['3 Beds', '1 Bath', '2 Parking']",0.6 km away
18,https://www.domain.com.au/43a-liverpool-road-kilsyth-vic-3137-16107493,KILSYTH VIC 3137,"43a Liverpool Road, KILSYTH VIC 3137",House,$445pw,"['2 Beds', '1 Bath', '1 Parking']",0.5 km away
19,https://www.domain.com.au/8-orion-avenue-st-albans-vic-3021-16107490,ST ALBANS VIC 3021,"8 Orion Avenue, ST ALBANS VIC 3021",House,$330 per week,"['3 Beds', '1 Bath', '3 Parking']",0.8 km away
20,https://www.domain.com.au/17-lavender-farm-road-tolmie-vic-3723-16106804,TOLMIE VIC 3723,"17 Lavender Farm Road, TOLMIE VIC 3723",House,$580,"['4 Beds', '1 Bath', '1 Parking', '40468.56m² ']",17.7 km away
21,https://www.domain.com.au/35-hourigan-road-morwell-vic-3840-16107487,MORWELL VIC 3840,"35 Hourigan Road, MORWELL VIC 3840",House,$270,"['2 Beds', '1 Bath', '− Parking']",0.5 km away
22,https://www.domain.com.au/10-harrowgate-court-brookfield-vic-3338-16107485,BROOKFIELD VIC 3338,"10 Harrowgate Court, BROOKFIELD VIC 3338",House,500 per week,"['5 Beds', '2 Baths', '4 Parking', '646m² ']",1.5 km away
23,https://www.domain.com.au/26-ceremony-drive-tarneit-vic-3029-16107484,TARNEIT VIC 3029,"26 Ceremony Drive, TARNEIT VIC 3029",House,$400pw,"['3 Beds', '2 Baths', '2 Parking']",1 km away
24,https://www.domain.com.au/1-nancarrow-drive-doreen-vic-3754-14719409,DOREEN VIC 3754,"1 Nancarrow Drive, DOREEN VIC 3754",House,$410,"['3 Beds', '1 Bath', '2 Parking']",0.9 km away
25,https://www.domain.com.au/7-botanic-drive-pakenham-vic-3810-16107469,PAKENHAM VIC 3810,"7 Botanic Drive, PAKENHAM VIC 3810",House,$480.00,"['4 Beds', '2 Baths', '2 Parking']",0.7 km away
26,https://www.domain.com.au/20-coriyule-court-cranbourne-north-vic-3977-16107466,CRANBOURNE NORTH VIC 3977,"20 Coriyule Court, CRANBOURNE NORTH VIC 3977",House,$400,"['3 Beds', '1 Bath', '4 Parking']",0.2 km away
27,https://www.domain.com.au/2-fuller-street-mitcham-vic-3132-16107465,MITCHAM VIC 3132,"2 Fuller Street, MITCHAM VIC 3132",House,$550.00,"['4 Beds', '2 Baths', '2 Parking']",0.6 km away
28,https://www.domain.com.au/20-grange-court-corio-vic-3214-15017572,CORIO VIC 3214,"20 Grange Court, CORIO VIC 3214",House,$425,"['3 Beds', '2 Baths', '1 Parking']",5.4 km away
29,https://www.domain.com.au/7-verdon-avenue-caroline-springs-vic-3023-16107459,CAROLINE SPRINGS VIC 3023,"7 Verdon Avenue, CAROLINE SPRINGS VIC 3023",House,$430 per week pw,"['3 Beds', '2 Baths', '2 Parking']",0.9 km away
30,https://www.domain.com.au/11-teller-street-tarneit-vic-3029-16107458,TARNEIT VIC 3029,"11 Teller Street, TARNEIT VIC 3029",House,$450 per week,"['4 Beds', '2 Baths', '2 Parking']",1.4 km away
31,https://www.domain.com.au/29-dehnert-street-doncaster-east-vic-3109-16107452,DONCASTER EAST VIC 3109,"29 Dehnert Street, DONCASTER EAST VIC 3109",House,"$600pw/$2,607pcm","['3 Beds', '1 Bath', '2 Parking']",0.4 km away
32,https://www.domain.com.au/13-bourchier-st-glenroy-vic-3046-16107450,GLENROY VIC 3046,"13 Bourchier St, GLENROY VIC 3046",House,$520.00,"['4 Beds', '2 Baths', '4 Parking']",0.5 km away
33,https://www.domain.com.au/31-bent-street-leongatha-vic-3953-16107438,LEONGATHA VIC 3953,"31 Bent Street, LEONGATHA VIC 3953",House,$380 pw,"['3 Beds', '1 Bath', '2 Parking']",1.1 km away
34,https://www.domain.com.au/15-profita-avenue-sydenham-vic-3037-16107431,SYDENHAM VIC 3037,"15 Profita Avenue, SYDENHAM VIC 3037",House,$450 Per Week,"['4 Beds', '2 Baths', '2 Parking']",0.8 km away
35,https://www.domain.com.au/16-mellor-street-sunshine-vic-3020-12008855,SUNSHINE VIC 3020,"16 Mellor Street, SUNSHINE VIC 3020",House,$460 per week,"['3 Beds', '1 Bath', '2 Parking']",0.8 km away
36,https://www.domain.com.au/70-woods-street-beaconsfield-vic-3807-14029939,BEACONSFIELD VIC 3807,"70 Woods Street, BEACONSFIELD VIC 3807",House,$600 p.w.,"['4 Beds', '2 Baths', '2 Parking', '1,091m² ']",0.5 km away
