house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
2/4 Hilltop Avenue Clayton Vic 3168,300,Studio,1,1,0,John Monash Science School,801,Clayton North Primary School,867,Amsleigh Park Primary School,1687,St Peter's School,1915,Pinewood Primary School,2108
2/42 Hopetoun Avenue Canterbury Vic 3126,650,Unit,3,1,2,Fintona Girls' School,617,Canterbury Girls Secondary College,652,Balwyn Primary School,752,Camberwell Grammar School,986,Strathcona Baptist Girls' Grammar School,1179
2/47 Gourlay Street St Kilda East Vic 3183,345,Apartment,2,1,1,Mount Scopus Memorial College (Gandel-Besen House),386,Yeshivah and Beth Rivkah Colleges,513,Beth Rivkah Ladies College,543,Caulfield Grammar School,613,Ripponlea Primary School,667
2/48 Magnolia Road Gardenvale Vic 3185,320,Apartment,1,1,1,Leibler Yavneh College,577,Gardenvale Primary School,779,Wesley College Elsternwick Campus,835,The Japanese School of Melbourne Ltd,947,St James' Parish Primary School,1165
2/602 Highbury Road Glen Waverley Vic 3150,450,Unit,3,1,1,Glendal Primary School,751,Burwood East Primary School,826,Holy Saviour Primary School,1259,Highvale Primary School,1270,Highvale Secondary College,1426
2/64 Seston Street Reservoir Vic 3073,420,Unit,2,1,1,East Preston Islamic College,644,Preston North East Primary School,763,Reservoir High School,863,Kingsbury Primary School,1350,Reservoir East Primary School,1361
2/73 Hansen Street Altona North Vic 3025,450,Townhouse,2,2,1,Bayside P-12 College Paisley Campus,1021,Newport Gardens Primary School,1146,Newport Lakes Primary School,1210,St Margaret Mary's School,1235,Altona North Primary School,1445
2/8 Short Street Northcote Vic 3070,530,Apartment,2,1,1,Spensley Street Primary School,571,Westgarth Primary School,849,St Joseph's Primary School,968,Fitzroy High School,1152,Northcote Primary School,1274
2/82 Para Rd Montmorency Vic 3094,500,Unit,3,1,2,Montmorency Secondary College,570,Montmorency Primary School,646,Lower Plenty Primary School,1016,Briar Hill Primary School,1104,St Francis Xavier Primary School,1133
3 Sidon Circuit Tarneit Vic 3029,430,House,4,2,2,Tarneit Senior College,265,Tarneit P-9 College,611,Baden Powell P-9 College,1722,St Francis of Assisi Catholic Primary School,2505,Thomas Carr College,2508
301/15 Breese Street Brunswick Vic 3056,480,Apartment,2,2,1,Sydney Road Community School,737,St Margaret Mary's School,794,Brunswick North Primary School,975,Moreland Primary School,1008,Brunswick Secondary College,1070
304/23 MacKenzie Street Melbourne Vic 3000,650,Apartment,2,2,0,Holmes Secondary School,526,Carlton Gardens Primary School,644,Stott's College,692,Academy of Mary Immaculate,787,St Joseph's Flexible Learning Centre,1162
304/9 High Street North Melbourne Vic 3051,280,Apartment,1,1,0,North Melbourne Primary School,246,University High School,308,St Joseph's Flexible Learning Centre,495,Simonds Catholic College,721,St Michael's School,953
305/33 Harrow Street Box Hill Vic 3128,510,Apartment,2,2,1,Our Lady of Sion College,522,St Francis Xavier's Parish Primary School,600,Box Hill High School,989,Laburnum Primary School,1235,Kingswood College,1403
308/6 Mater Street Collingwood Vic 3066,440,Apartment,1,1,1,Clifton Hill Primary School,463,St Joseph's School,576,Collingwood College,583,Fitzroy Primary School,601,St John's School,627
3114/9 Power Street Southbank Vic 3006,450,Apartment,1,1,0,Victorian College Of The Arts Secondary School,704,South Melbourne Primary School,974,Ozford College,1268,Montague Continuing Education Centre,1339,Haileybury College - City Campus,1499
313 Mitcham Road Mitcham Vic 3132,425,House,2,2,1,Mitcham Primary School,471,St John's School,556,Mullauna Secondary College,618,Antonio Park Primary School,1129,Rangeview Primary School,2033
315/188 Peel Street North Melbourne Vic 3051,310,Apartment,1,1,0,St Joseph's Flexible Learning Centre,184,Simonds Catholic College,484,University High School,644,North Melbourne Primary School,709,Stott's College,936
32 Hinterland Drive Curlewis Vic 3222,430,House,4,2,2,Clifton Springs Primary School,1161,St Ignatius College Geelong,1608,St Thomas' Primary School,1636,Bellarine Secondary College,1730,Christian College Bellarine,2338
34 Dinah Parade Keilor East Vic 3033,380,Unit,3,1,1,Essendon Keilor College - East Keilor Campus,447,St Peter's School,663,Keilor Heights Primary School,751,Penleigh and Essendon Grammar School (Senior School),1276,St Bernard's College,1562
34 Kinkead Crescent Endeavour Hills Vic 3802,520,House,4,2,2,St Paul Apostle South School,529,Thomas Mitchell Primary School,815,Southern Cross Primary School,959,Gleneagles Secondary College,1249,Mossgiel Park Primary School,1310
3517/70 Southbank Boulevard Southbank Vic 3006,450,Unit,1,1,0,Victorian College Of The Arts Secondary School,608,South Melbourne Primary School,1129,Ozford College,1410,Melbourne Grammar School,1474,Montague Continuing Education Centre,1504
36 Duosa Road Altona North Vic 3025,490,House,3,1,2,Annunciation School,722,Bayside P-12 College Altona North Campus,1055,Altona North Primary School,1318,St Leo the Great School,1348,Emmanuel College,1699
36 Mackenzie Drive Wollert Vic 3750,520,House,4,2,2,Edgars Creek Secondary College,585,Harvest Home Primary School,1706,St Mary of the Cross MacKillop Catholic Parish Primary School,1872,Epping Views Primary School,2412,Al Siraat College,2813
37 Valentine Street Rye Vic 3941,550,House,3,1,1,Rye Primary School,2729,Tootgarook Primary School,5718,Sorrento Primary School,6017,St Joseph's Primary School,6073,Eastbourne Primary School,7937
372A Gore Street Fitzroy Vic 3065,850,Apartment,3,1,0,Fitzroy Primary School,279,Collingwood College,319,St Joseph's School,335,Sacred Heart School,628,Clifton Hill Primary School,784
38 Riland Boulevard Tarneit Vic 3029,430,House,4,2,2,Tarneit Senior College,2427,Tarneit P-9 College,2614,Islamic College Of Melbourne,3727,Good News Lutheran College,3917,Baden Powell P-9 College,3942
38 Sixth Avenue Rosebud Vic 3939,420,House,3,1,1,Rosebud Primary School,827,Our Lady of Fatima,1271,Rosebud Secondary College,1556,Padua College - Rosebud Campus,1689,Eastbourne Primary School,2210
3/10 Cypress Avenue Brooklyn Vic 3012,420,House,2,1,1,Annunciation School,332,Bayside P-12 College Altona North Campus,1577,Altona North Primary School,1832,St Leo the Great School,1870,Emmanuel College,2222
3/195 Union Street Brunswick West Vic 3055,490,Townhouse,2,2,1,Brunswick South West Primary School,268,Parkville College,557,Brunswick Secondary College,838,St Joseph's School,1166,Ascot Vale Special School,1264
3/21 Tiuna Grove Elwood Vic 3184,400,Apartment,2,1,1,St Columba's School,289,Elwood College,459,Elwood Primary School,573,Yesodei Hatorah College,1315,Divrei Emineh,1537
3/22 Chestnut Street Carnegie Vic 3163,370,Apartment,1,1,1,Carnegie Primary School,672,Murrumbeena Primary School,831,The Currajong School,1156,St Anthony's Primary School,1293,Glen Huntly Primary School,1515
3/26 Clyde Street Ferntree Gully Vic 3156,600,Townhouse,3,2,2,Mountain Gate Primary School,341,Kent Park Primary School,411,Wattle View Primary School,1326,Knox Park Primary School,1400,Fairhills High School,1409
3/3 Heather Grove Nunawading Vic 3131,530,Townhouse,3,2,2,Mount Pleasant Road Nunawading Primary School,553,Nunawading Christian College - Primary,578,Nunawading Christian College - Secondary,711,Blackburn Lake Primary School,899,St John's School,1542
3/3 Rickard Street Avondale Heights Vic 3034,560,Townhouse,3,2,2,Avondale Primary School,707,Braybrook College,1136,Sunshine College,1242,St Martin de Porres School,1345,Sunshine North Primary School,1413
3/30 Faraday Street Boronia Vic 3155,500,Unit,3,2,2,St Joseph's School,439,Boronia West Primary School,579,Bayswater South Primary School,1050,Fairhills Primary School,1231,Our Lady of Lourdes School,1292
3/40 Home Street Reservoir Vic 3073,420,Unit,2,1,1,Holy Name School,552,Reservoir East Primary School,639,Reservoir High School,871,Preston Primary School,996,Preston North East Primary School,1040
3/5 Moon Street Brighton East Vic 3187,600,Villa,3,2,1,Gardenvale Primary School,752,Ormond Primary School,899,Melbourne Montessori School,946,Mount Scopus Memorial College - Caulfield Junior Division,1065,Caulfield South Primary School,1206
3/6 Industry Lane Coburg Vic 3058,480,Apartment,2,2,2,St Paul's Parish Primary School,259,Coburg Primary School,598,Coburg High School,631,Mercy College,835,St Bernard's Primary School,1269
3/7-9 Webb Street Seaford Vic 3198,350,Unit,3,1,1,Nepean Special School,536,Belvedere Park Primary School,680,St Anne's School,1144,Monterey Secondary College,1146,Aldercourt Primary School,1259
3/9 Frogmore Road Carnegie Vic 3163,300,Apartment,1,1,1,St Patrick's School,889,Carnegie Primary School,919,Murrumbeena Primary School,1035,Glen Huntly Primary School,1551,Oakleigh Grammar,1648
4 Hugh Street Knoxfield Vic 3180,430,House,3,1,3,Knox Park Primary School,532,Kent Park Primary School,670,Fairhills High School,851,St Mary's College for Hearing Impaired Students,1236,Holy Trinity Primary School,1236
4 Jennifer Court Mount Waverley Vic 3149,650,House,4,2,2,Syndal South Primary School,720,Pinewood Primary School,778,Huntingtower School,909,Avila College,1291,Mount Waverley Primary School,1312
4 Kepsi Place Croydon Vic 3136,700,House,4,2,2,Ruskin Park Primary School,1180,Croydon Primary School,1240,Croydon Community School,1663,Manchester Primary School,1919,Yarra Hills Secondary College,2020
40 Riland Boulevard Tarneit Vic 3029,430,House,4,2,2,Tarneit Senior College,2419,Tarneit P-9 College,2604,Islamic College Of Melbourne,3711,Good News Lutheran College,3901,Baden Powell P-9 College,3934
401/82  Hawdon street Heidelberg Vic 3084,470,Apartment,2,1,1,St John's Primary School,189,Our Lady of Mercy College,286,Heidelberg Primary School,335,Ivanhoe Girls' Grammar School,1888,Banyule Primary School,1904
406/611 Sydney Road Brunswick Vic 3056,400,Apartment,1,1,1,St Margaret Mary's School,665,Sydney Road Community School,792,Moreland Primary School,901,Brunswick North Primary School,1069,Brunswick Secondary College,1184
40a Macedon Parade Wollert Vic 3750,360,Townhouse,2,2,1,Edgars Creek Secondary College,197,Harvest Home Primary School,1549,St Mary of the Cross MacKillop Catholic Parish Primary School,2127,Epping Views Primary School,2901,Al Siraat College,3497
42 Bell Street Hawthorn Vic 3122,700,House,3,1,0,Methodist Ladies' College,434,Swinburne Senior Secondary College,491,Ruyton Girls' School,779,Glenferrie Primary School,852,Carey Baptist Grammar School,863
42 Restful Way Rockbank Vic 3335,450,House,4,2,2,Rockbank Primary School,983,Bacchus Marsh Grammar - Woodlea Campus,1833,Aintree Primary School,2018,Creekside K-9 College,7382,Brookside P-9 College,7411
43 Bellman Avenue Clyde Vic 3978,475,House,3,2,2,Ramlegh Park Primary School,979,Clyde Primary School,2022,St Peters College - Clyde North Campus,2221,St Thomas The Apostle Catholic Primary School,2232,Lighthouse Christian College Cranbourne,3244
43 Daisy Street Huntly Vic 3551,450,House,4,2,0,Huntly Primary School,1198,Epsom Primary School,5887,Holy Rosary School,8005,White Hills Primary School,8436,Weeroona College Bendigo,9749
43 Meerlu Avenue Frankston Vic 3199,500,House,3,1,2,McClelland College,205,Naranga Special School,513,Ballam Park Primary School,618,St John's Primary School,827,Frankston East Primary School,975
43 Neville Street Box Hill South Vic 3128,445,House,3,1,2,Mount Scopus Memorial College,772,Kingswood College,1006,Presbyterian Ladies' College,1069,Roberts McCubbin Primary School,1103,Our Lady of Perpetual Succour School,1277
44 Laura Street Brunswick Vic 3056,760,Other,3,2,0,Sydney Road Community School,396,Brunswick Secondary College,998,Brunswick South Primary School,1043,Our Lady Help of Christians School,1209,Princes Hill Primary School,1281
448 Rae Street Fitzroy North Vic 3068,950,House,3,1,1,Deutsche Schule Melbourne,373,Fitzroy North Primary School,473,Our Lady Help of Christians School,611,Merri Creek Primary School,624,Fitzroy High School,738
45 Versant Drive Craigieburn Vic 3064,450,House,4,2,2,Aitken Creek Primary School,2021,Kolbe Catholic College,2153,Willmott Park Primary School,2513,Keelonith Primary School,3074,Roxburgh Rise Primary School,3100
4/107 Old Princess Highway Beaconsfield Vic 3807,385,Unit,2,1,2,St Francis Xavier College,234,Beaconsfield Primary School,593,Haileybury College - Berwick campus,1310,Berwick Primary School,1975,Orchard Park Primary School,2049
4/1494 High Street Glen Iris Vic 3146,699,Apartment,3,3,1,Sacre Coeur,716,St Roch's Parish School,742,Malvern Central School,804,Korowa Anglican Girls' School,887,De La Salle College,1146
4/17 Barrell Street Eaglehawk Vic 3556,350,Unit,2,1,1,St Liborius' School,195,Eaglehawk Secondary College,377,Eaglehawk Primary School,536,California Gully Primary School,1424,Lightning Reef Primary School,1763
4/179 Mason Street Newport Vic 3015,310,Unit,2,1,0,Newport Gardens Primary School,400,Bayside P-12 College Paisley Campus,461,Newport Lakes Primary School,981,Sacred Heart School,1275,St Margaret Mary's School,1567
4/28 Upper Skene Street Newtown Vic 3220,375,Unit,2,1,1,St Joseph's College,480,Newtown Primary School,569,Sacred Heart College,706,The Geelong College,841,Geelong Grammar School - Bostock House,864
4/28 Upper Skene Street Newtown Vic 3220,375,Unit,2,1,1,St Joseph's College,480,Newtown Primary School,569,Sacred Heart College,706,The Geelong College,841,Geelong Grammar School - Bostock House,864
4/301 Jasper  Road Ormond Vic 3204,395,Unit,2,1,1,St Kevin's Parish School,523,Mckinnon Secondary College,594,Katandra School,690,Mckinnon Primary School,824,Ormond Primary School,833
4/31 Bayview Crescent Black Rock Vic 3193,700,Townhouse,2,2,1,Black Rock Primary School,500,St Joseph's School,1041,Firbank Grammar School Sandringham,1070,Sandringham East Primary School,1383,Sandringham College,1505
4/32 Dunblane Road Noble Park Vic 3174,370,Unit,2,1,2,Harrisfield Primary School,882,Noble Park English Language School,905,Noble Park Secondary College,998,Noble Park Primary School,1054,St Anthony's School,1263
4/51 Chapel Street St Kilda Vic 3182,320,Apartment,1,1,1,St Michael's Grammar School,333,Christian Brothers' College,584,Presentation College Windsor,675,St Mary's School,681,Windsor Primary School,721
5 Kurrajong Crescent Melton South Vic 3338,370,House,3,1,2,Staughton College,760,Melton South Primary School,780,St Anthony's Primary School,851,Coburn Primary School,994,Melton Christian College,1158
5 Socorro Way Truganina Vic 3029,480,House,4,2,2,Rockbank Primary School,2355,Bacchus Marsh Grammar - Woodlea Campus,2831,Aintree Primary School,3054,Brookside P-9 College,5036,Christ the Priest Primary School,5263
50 Fisher Street Maidstone Vic 3012,600,House,3,2,4,Maribyrnong Secondary College,708,Footscray North Primary School,1175,Rosamond Special School,1203,St Margaret's Primary School,1576,Footscray City College,1842
5008/639 Little lonsdale street Melbourne Vic 3000,750,Apartment,2,2,1,Ozford College,223,Haileybury College - City Campus,348,Simonds Catholic College,915,Docklands Primary School,1019,St Joseph's Flexible Learning Centre,1160
509/501 Little Collins Street Melbourne Vic 3000,450,Apartment,1,1,0,Ozford College,561,Haileybury College - City Campus,792,Simonds Catholic College,1313,Victorian College Of The Arts Secondary School,1419,South Melbourne Primary School,1419
511/2 McGoun Street Richmond Vic 3121,550,Apartment,2,2,1,Richmond West Primary School,354,Lynall Hall Community School,593,Richmond High School - Griffiths Campus,626,Abbotsford Primary School,818,Yarra Primary School,1023
54 Webster Way Pakenham Vic 3810,480,House,4,2,2,Pakenham Springs Primary School,1443,Pakenham Secondary College,2201,St Patrick's Primary School,2206,Pakenham Consolidated School,2917,Pakenham Hills Primary School,2969
55 Homestead Road Berwick Vic 3806,520,House,3,2,2,Berwick Fields Primary School,641,Kambrya College,1193,Brentwood Park Primary School,1263,Heritage College,1487,Nossal High School,1606
55 Muirfield Dr Sunbury Vic 3429,420,House,3,2,1,Goonawarra Primary School,989,Our Lady of Mount Carmel School,2053,Salesian College,2322,Sunbury And Macedon Ranges Specialist School,2542,Sunbury College,2804
5505/18 Hoff Boulevard Southbank Vic 3006,1300,Apartment,3,2,2,Victorian College Of The Arts Secondary School,315,South Melbourne Primary School,984,Melbourne Grammar School,1244,MacRobertson Girls High School,1356,Montague Continuing Education Centre,1360
56 Grevillea Drive Mount Duneed Vic 3217,520,House,4,2,3,Mirripoa Primary School,915,Grovedale West Primary School,928,Grovedale College,930,Nazareth Primary School,1600,Geelong Lutheran College,1661
56 Selwyn Street Albion Vic 3020,300,House,3,2,2,St Theresa's School,643,Albion Primary School,688,St Paul's Primary School,907,Marian College,916,Mother of God School,1086
562 Waterdale Rd Heidelberg Heights Vic 3081,385,House,2,1,4,Charles La Trobe P-12 College,1233,Rosanna Primary School,1255,St Pius X School,1265,East Preston Islamic College,1329,Preston North East Primary School,1832
58 Lindisfarne Street Burwood East Vic 3151,550,House,3,1,1,Burwood East Primary School,414,Burwood East Special Developmental School,782,Blackburn English Language School,853,Forest Hill College,1290,Burwood Heights Primary School,1437
587 Lygon Street Carlton North Vic 3054,630,House,3,1,0,Princes Hill Primary School,108,Princes Hill Secondary College,443,Brunswick South Primary School,472,Our Lady Help of Christians School,965,Carlton North Primary School,1026
5/1 St Georges Road Toorak Vic 3142,280,Apartment,1,1,0,St Catherine's School,480,Loreto Mandeville Hall,779,Toorak Primary School,812,St Kevin's College,877,Geelong Grammar School - Toorak Campus,885
5/20 Kireep Road Balwyn Vic 3103,490,Apartment,3,2,2,Balwyn Primary School,694,Chatham Primary School,763,Fintona Girls' School,856,Belmore School,1131,Mont Albert Primary School,1244
5/21-23 Haig Street Box Hill South Vic 3128,430,Unit,2,1,1,Roberts McCubbin Primary School,432,Kingswood College,850,Laburnum Primary School,1098,Our Lady of Perpetual Succour School,1420,Box Hill High School,1455
5/39 Nepean Highway Elsternwick Vic 3185,430,Apartment,2,1,1,Elsternwick Primary School,500,Sholem Aleichem College,546,St Joseph's School,663,Adass Israel School,774,Leibler Yavneh College,808
5/6 Grandview Street Glenroy Vic 3046,380,Townhouse,2,1,1,Glenroy West Primary School,536,Glenroy Private,587,Glenroy Central Primary School,927,Oak Park Primary School,1009,Glenroy Specialist School,1024
5/80 Argyle Street Fawkner Vic 3060,350,Unit,2,1,1,St Mark's Primary School,354,Fawkner Primary School,582,Australian International Academy of Education,1310,Darul Ulum College of Victoria,1371,Mercy College,1518
6 Bittern Street Melton Vic 3337,360,House,4,2,2,Melton Secondary College,793,Melton Specialist School,813,St Dominic's Primary School,882,Melton Primary School,1096,Kurunjang Secondary College,1120
6 Hedgeley Rd Bell Park Vic 3215,650,House,6,4,4,Bell Park North Primary School,122,North Geelong Secondary College,618,Holy Family Primary School,656,Rollins Primary School,896,Nelson Park School,1000
6 Osborne Avenue Bentleigh Vic 3204,675,House,3,1,4,Mckinnon Secondary College,546,Valkstone Primary School,738,Mckinnon Primary School,761,St Paul's Primary School,1025,Our Lady of the Sacred Heart College,1364
60 Wingate Street Bentleigh East Vic 3165,615,House,3,2,3,East Bentleigh Primary School,576,Southern Autistic School,933,St Catherine's School,975,Southmoor Primary School,995,Bentleigh Secondary College,1002
603/469 St Kilda Road Melbourne Vic 3004,1100,Apartment,2,2,2,South Yarra Primary School,691,Wesley College,736,Christ Church Grammar School,744,MacRobertson Girls High School,785,Melbourne Grammar School,931
605/15 Caravel Lane Docklands Vic 3008,580,Apartment,2,2,1,Docklands Primary School,201,Haileybury College - City Campus,1044,Ozford College,1121,Simonds Catholic College,1318,St Joseph's Flexible Learning Centre,1625
61 Ambassador Crescent Point Cook Vic 3030,460,House,4,2,2,Stella Maris Catholic Primary School,1535,Suzanne Cory High School,1587,Point Cook Prep - Year 9 College,1619,Mossfiel Primary School,1814,Woodville Primary School,1832
62 Leeson Street Officer South Vic 3809,390,House,3,2,1,Bridgewood Primary School,1904,John Henry Primary School,1923,Edenbrook Secondary College,2049,Pakenham Lakeside Primary School,2624,Maranatha Junior School Officer,3233
64 Mount Erin Crescent Frankston South Vic 3199,575,House,4,2,2,St Augustine's School,490,Mount Erin Secondary College,743,Frankston Heights Primary School,1111,Frankston High School,1390,Kingsley Park Primary School,1430
67 Bradman Boulevard Traralgon Vic 3844,760,House,4,3,3,Traralgon (Stockdale Road) Primary School,819,St Paul's Anglican Grammar School - Traralgon,826,Traralgon College,1012,Grey Street Primary School (Traralgon),1273,St Gabriel's Primary School,1511
6/10 Howard Street Box Hill Vic 3128,300,Unit,2,1,1,Our Lady of Sion College,888,St Francis Xavier's Parish Primary School,990,Kingswood College,1123,Our Lady of Perpetual Succour School,1246,Box Hill High School,1373
6/15 Barwise Street Laverton Vic 3028,550,House,4,3,2,St Martin de Porres School,227,Western Autistic School,388,Laverton P-12 College,473,Altona Meadows Primary School,1618,Queen of Peace Parish Primary School,2931
6/15 Barwise Street Laverton Vic 3028,550,House,4,3,2,St Martin de Porres School,227,Western Autistic School,388,Laverton P-12 College,473,Altona Meadows Primary School,1618,Queen of Peace Parish Primary School,2931
6/2B Nullawil Street Springvale Vic 3171,310,Unit,2,1,1,St John Vianney's School,355,Wellington Secondary College,591,Springvale Rise Primary School (interim name),684,Albany Rise Primary School,1088,Minaret College,1241
6/30 Karingal Street Croydon North Vic 3136,520,Unit,3,1,2,Village School Inc,397,Oxley Christian College,817,Mooroolbark College,1885,Yarra Road Primary School,1926,Manchester Primary School,1985
6/32 Empire Street Footscray Vic 3011,330,Apartment,1,1,1,Footscray City College,340,Footscray North Primary School,559,Rosamond Special School,711,Maribyrnong Secondary College,986,St John's School,1053
6/67 Dover Street Flemington Vic 3031,650,Flat,3,1,1,Kensington Community High School,590,St Brendan's School,657,Mount Alexander 7-12 College,823,Ascot Vale Primary School,955,Ascot Vale Special School,1034
6/800 Nepean Highway Mornington Vic 3931,350,Unit,2,1,1,Osborne Primary School,1629,Benton Junior College,2016,Mornington Primary School,2381,Mornington Park Primary School,2637,Mornington Secondary College,3466
7 Beaconsfield Parade Northcote Vic 3070,600,House,3,1,0,Santa Maria College,665,Northcote Primary School,754,Northcote High School,821,Wales Street Primary School,932,St Mary's School,968
7 Bloomsbury Street Newtown Vic 3220,380,House,2,1,1,St Robert's School,545,Chilwell Primary School,615,Geelong South Primary School,1122,The Geelong College,1178,Geelong Grammar School - Bostock House,1186
7 Mccubbin Street Footscray Vic 3011,440,Townhouse,2,1,1,Footscray North Primary School,468,Rosamond Special School,509,Footscray City College,551,St John's School,573,Footscray Primary School,945
7 Spoonbill Carrum Downs Vic 3201,350,House,3,1,1,St Joachim's Catholic Primary School,279,Rowellyn Park Primary School,974,Banyan Fields Primary School,1206,Carrum Downs Secondary College,1713,Skye Primary School,2245
7 Spraypoint Drive Point Cook Vic 3030,600,House,4,2,2,Saltwater P-9 College,1232,Altona Green Primary School,1726,Lumen Christi Catholic Primary School Point Cook,2395,Seabrook Primary School,2984,Queen of Peace Parish Primary School,3150
7 Timmins Court Mill Park Vic 3082,600,House,4,2,4,Mill Park Heights Primary School,500,Findon Primary School,935,Lalor North Secondary College,1141,St Francis of Assisi Primary School,1306,Mill Park Secondary College,1486
70 Toora Drive Westmeadows Vic 3049,390,House,3,1,2,Westmeadows Primary School,806,Broadmeadows Valley Primary School,1166,Broadmeadows Special Developmental School,1582,Hume Central Secondary College,1588,Sirius College - Meadow Fair Campus,1770
71 Sternberg Street Bendigo Vic 3550,550,House,3,1,9,St Therese's Primary School,525,Doxa School Bendigo,1210,St Joseph's School,1244,Bendigo South East College,1413,St Kilian's Primary School,1455
710/639 Little Lonsdale Street Melbourne Vic 3000,500,Apartment,1,1,0,Ozford College,223,Haileybury College - City Campus,348,Simonds Catholic College,915,Docklands Primary School,1019,St Joseph's Flexible Learning Centre,1160
725/488 Swanston Street Carlton Vic 3053,360,Apartment,2,1,0,Stott's College,573,Carlton Gardens Primary School,653,St Joseph's Flexible Learning Centre,763,Holmes Secondary School,941,Simonds Catholic College,955
76 Everard Street Glenroy Vic 3046,380,House,3,1,1,Belle Vue Park Primary School,578,St Thomas More's School,1134,Glenroy Secondary College,1156,Corpus Christi Primary School,1222,Glenroy Central Primary School,1310
7b Bevis Street Bentleigh East Vic 3165,900,House,4,3,2,Valkstone Primary School,572,Mckinnon Secondary College,876,Mckinnon Primary School,978,St Paul's Primary School,1070,Bentleigh Secondary College,1223
7/29-31 Jersey Parade Carnegie Vic 3163,850,Townhouse,3,3,2,Carnegie Primary School,546,Murrumbeena Primary School,883,St Anthony's Primary School,1243,The Currajong School,1307,Glen Huntly Primary School,1399
7/508 Blackburn Road Doncaster East Vic 3109,530,Townhouse,3,2,1,Serpell Primary School,1416,St Charles Borromeo Primary School,1450,Milgate Primary School,1620,Our Lady of the Pines School,1754,Carey Baptist Grammar School - Donvale Campus,2036
7/83 Janefield Drive Bundoora Vic 3083,300,Apartment,1,1,1,Mill Park Primary School,1140,Plenty Parklands Primary School,1284,Parade College,1448,Mill Park Secondary College,2188,St Francis of Assisi Primary School,2300
8 Hall Street Epping Vic 3076,390,House,3,1,2,Epping Primary School,295,St Peter's Parish Primary School,909,St Monica's College,999,Epping Secondary College,1470,Epping Views Primary School,1517
803/60 Dorcas Street Southbank Vic 3006,700,Apartment,2,2,1,Victorian College Of The Arts Secondary School,337,Melbourne Grammar School,640,MacRobertson Girls High School,729,South Melbourne Park Primary School,1207,South Melbourne Primary School,1270
805W/888 Collins Street Docklands Vic 3008,500,Apartment,2,1,0,Docklands Primary School,905,Montague Continuing Education Centre,1317,Ozford College,1383,South Melbourne Primary School,1388,Haileybury College - City Campus,1424
815/628 Flinders Street Docklands Vic 3008,600,Apartment,2,1,0,South Melbourne Primary School,877,Ozford College,940,Montague Continuing Education Centre,1106,Haileybury College - City Campus,1132,Victorian College Of The Arts Secondary School,1284
8/184 Rossmoyne Street Thornbury Vic 3071,380,Unit,2,1,1,Holy Spirit School,388,Penders Grove Primary School,487,Wales Street Primary School,506,St Mary's School,950,Thornbury High School,1187
8/21 Irving Avenue Prahran Vic 3181,400,Apartment,2,1,1,The King David School,316,Our Lady of Lourdes School,626,St Mary's School,841,Christian Brothers' College,933,Windsor Primary School,1000
8/298 Nepean Highway Seaford Vic 3198,365,Apartment,2,1,1,Kananook Primary School,803,Nepean Special School,1854,John Paul College,1921,Monterey Secondary College,2016,Frankston Primary School,2066
9 Braemar Street Mont Albert North Vic 3129,650,House,3,1,2,Box Hill Senior Secondary College,333,Mont Albert Primary School,589,Koonung Secondary College,1004,Greythorn Primary School,1405,Our Holy Redeemer School,1461
9 Camelot Drive Tarneit Vic 3029,420,House,3,2,2,Tarneit P-9 College,484,Tarneit Senior College,816,Baden Powell P-9 College,1563,Good News Lutheran College,1876,The Grange P-12 College,1930
9 Martin Street Thornbury Vic 3071,650,House,3,1,1,St Mary's School,445,Wales Street Primary School,602,Thornbury Primary School,761,Santa Maria College,1061,Holy Spirit School,1206
9 Tangerine Road Manor Lakes Vic 3024,430,House,4,2,2,Manor Lakes P-12 College,1431,Our Lady of the Southern Cross Catholic Primary School,1628,Wyndham Christian College,2411,Riverbend Primary School,3013,Iramoo Primary School,4612
91 Festival Drive Point Cook Vic 3030,450,House,4,2,2,Alamanda K-9 College,727,Saltwater P-9 College,1810,Lumen Christi Catholic Primary School Point Cook,1851,Featherbrook College P-9,2085,Point Cook Prep - Year 9 College,2653
911/199 William Street Melbourne Vic 3000,575,Apartment,2,2,0,Ozford College,323,Haileybury College - City Campus,546,Simonds Catholic College,1045,St Joseph's Flexible Learning Centre,1199,Holmes Secondary School,1389
9/239 St Georges Road Northcote Vic 3070,385,Apartment,2,1,1,Croxton Special School,408,Northcote High School,526,Northcote Primary School,872,Brunswick East Primary School,1069,Santa Maria College,1113
9/919 Dandenong Road Malvern East Vic 3145,370,Apartment,2,1,1,St Mary's School,644,Lloyd Street Primary School,950,Malvern Primary School,983,The Currajong School,1149,Caulfield Park Community School,1156
G01/82 Bulla Road Strathmore Vic 3041,350,Apartment,1,1,1,Essendon North Primary School,533,Strathmore Primary School,996,Buckley Park College,1480,Strathmore North Primary School,1586,St John Bosco's School,1653
Ground Level Apartment 5 33 Quay Boulevard Werribee South Vic 3030,400,Apartment,2,2,2,MacKillop Catholic Regional College,6785,Alamanda K-9 College,6836,Corpus Christi Primary School,7276,Featherbrook College P-9,7302,Werribee Secondary College,7305
H307/12 Trenerry Crescent Abbotsford Vic 3067,390,Apartment,1,1,1,Sophia Mundi Steiner School,421,Andale School,948,Abbotsford Primary School,1186,Clifton Hill Primary School,1342,St Joseph's School,1368
