house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
13-15 Middleton Road Armstrong Creek Vic 3217,550,House,4,2,2,Geelong Lutheran College,1164,St Catherine of Siena Catholic Primary School Armstrong Creek,2035,Oberon High School,2043,Armstrong Creek Primary School,2162,Mount Duneed Regional Primary School,2232
138B Unity Drive Mount Duneed Vic 3217,470,Townhouse,3,2,2,Mirripoa Primary School,280,Geelong Lutheran College,1306,Grovedale College,1765,Grovedale West Primary School,1766,Mount Duneed Regional Primary School,1791
139a Dryburgh Street North Melbourne Vic 3051,630,House,2,2,1,Simonds Catholic College,878,North Melbourne Primary School,905,St Joseph's Flexible Learning Centre,1035,Docklands Primary School,1044,St Aloysius College,1110
14 Bliss Street Point Cook Vic 3030,395,House,4,2,4,Featherbrook College P-9,611,Alamanda K-9 College,1107,Point Cook Prep - Year 9 College,1143,Stella Maris Catholic Primary School,1352,Point Cook Senior Secondary College,1568
14 Durrant Street Brighton Vic 3186,1420,Townhouse,4,3,3,Brighton Primary School,376,Firbank Grammar School Brighton,513,Brighton Grammar School,973,St James' Parish Primary School,1218,Gardenvale Primary School,1357
14 Harcourt Ave Caulfield Vic 3162,900,House,3,2,2,Caulfield Primary School,733,Shelford Girls' Grammar,817,St Aloysius' School,902,Melbourne Montessori School,954,Adass Israel School,1022
1410/120 A'beckett Street Melbourne Vic 3000,580,Apartment,2,2,0,Haileybury College - City Campus,637,Ozford College,649,St Joseph's Flexible Learning Centre,659,Simonds Catholic College,680,Stott's College,1059
1412/420-434 Spencer Street West Melbourne Vic 3003,500,Apartment,2,1,0,Haileybury College - City Campus,239,Ozford College,447,Simonds Catholic College,517,St Joseph's Flexible Learning Centre,811,Docklands Primary School,851
1492 Malvern Road Glen Iris Vic 3146,230,Unit,1,1,0,St Roch's Parish School,675,Sacre Coeur,955,Malvern Central School,1032,Korowa Anglican Girls' School,1045,Alia College,1222
14a Ferguson Court Ferntree Gully Vic 3156,650,Townhouse,4,2,2,Kent Park Primary School,332,Mountain Gate Primary School,411,Knox Park Primary School,1318,Fairhills High School,1340,Wattle View Primary School,1372
14A Geel Street Bentleigh Vic 3204,1450,Townhouse,4,2,2,St Paul's Primary School,381,Our Lady of the Sacred Heart College,434,Tucker Road Bentleigh Primary School,929,Bentleigh Secondary College,1372,Southern Autistic School,1473
15 Cerbera Bend Cranbourne North Vic 3977,550,House,4,2,2,Alkira Secondary College,1090,St Catherine's Catholic Primary School,1364,Hillsmeade Primary School,1417,Berwick Chase Primary School,2375,Heritage College,2566
15 Correa Drive Eaglehawk Vic 3556,360,House,2,1,2,Eaglehawk Primary School,1155,Eaglehawk Secondary College,1314,St Liborius' School,1522,Eaglehawk North Primary School,1541,California Gully Primary School,2572
