,0
0,163813.91
1,34286.29
2,29562.13
3,28960.59
4,21521.8
5,87743.43
6,30881.19
7,232742.53
8,52269.97
9,3479.92
10,90042.67
11,35103.63
12,22766.4
13,88274.93
14,8194.31
15,151805.55
16,61359.23
17,45397.61
18,36483.41
19,24933.3
20,227409.59
21,153484.91
22,45813.7
23,29388.13
24,33596.89
25,56556.33
26,48725.8
27,27967.35
28,66172.92
29,32491.79
30,30453.22
31,21527.03
32,14569.32
33,141083.05
34,27499.78
35,13228.82
36,50129.26
37,48368.0
38,24587.89
39,182927.84
40,25799.55
41,240427.23
42,25796.98
43,47401.17
44,29770.11
45,211628.69
46,38859.79
47,20464.36
48,56343.0
49,13597.21
50,37772.53
51,27271.88
52,62224.33
53,41120.51
54,43195.31
55,10804.53
56,10804.53
57,16596.92
58,20924.16
59,82358.59
60,249963.47
61,26851.84
62,5541.23
63,5767.69
64,53175.27
65,18553.14
66,31777.06
67,541460.63
68,18802.83
69,17113.23
70,71173.43
71,22168.07
72,20480.82
73,48691.21
74,15948.96
75,6655.25
76,9432.99
77,45651.59
78,9407.14
79,36945.07
80,148640.5
81,13851.37
82,26505.99
83,158458.73
84,25663.76
85,22279.57
86,27057.4
87,39511.58
88,115155.18
89,31806.65
90,120255.91
91,51723.67
92,74159.09
93,43318.21
94,5400.16
95,8032.22
96,45272.11
97,10182.26
98,44001.61
99,25712.58
100,22892.44
101,36417.51
102,26710.95
103,107909.08
104,11444.53
105,81126.53
106,26259.72
107,40986.7
108,29024.12
109,29438.66
110,58378.46
111,20288.11
112,21992.71
113,12463.47
114,20141.99
115,154409.63
116,64040.31
117,24494.59
118,76292.18
119,20843.84
120,29868.33
121,10019.57
122,18669.91
123,22546.59
124,25167.96
125,15398.88
126,27165.55
127,220463.28
128,79383.44
129,27442.4
130,46387.43
131,35227.31
132,35936.83
133,14011.49
134,38325.58
135,29799.28
136,27571.81
137,58015.66
138,8060.91
139,241105.33
140,25835.38
141,60907.32
142,15923.79
143,42566.44
144,33547.07
145,50596.47
146,53417.63
147,54980.62
148,15203.53
149,28787.75
150,22133.62
151,53840.24
152,30216.63
153,232737.39
154,219404.2
155,40080.93
156,53980.75
157,46166.47
158,12467.84
159,9586.19
160,361308.25
161,13831.4
162,13231.36
163,36125.63
164,51961.93
165,50903.23
166,82028.34
167,12572.19
168,21131.6
169,89323.34
170,47144.58
171,65496.73
172,6375.02
173,32359.81
174,32481.11
175,12559.09
176,52739.34
177,20319.57
178,82665.53
179,125385.15
180,125012.13
181,18336.15
182,40965.56
183,34910.47
184,14532.37
185,204773.03
186,17580.79
187,183432.72
188,9164.7
189,107947.04
190,10916.05
191,10868.22
192,92034.5
193,21988.92
194,32715.96
195,5821.51
196,543028.56
197,33082.19
198,26424.14
199,52942.55
200,7225.65
201,23089.6
202,160511.58
203,8022.6
204,42590.52
205,92281.71
206,24802.4
207,15354.44
208,6433.75
209,47695.41
210,34634.34
211,54078.57
212,25723.35
213,24771.1
214,46062.24
215,17229.88
216,21014.3
