,Suburbs,Addresses,Price per week ($),Bedrooms,Bathrooms,Garages,Land Sizes (m^2),Nearest Schools
0,BONSHAW VIC 3352,"26 Yolanda Street, BONSHAW VIC 3352",$460,4,2,2,,"['1.4 km away', '1.6 km away', '4.6 km away']"
1,KEILOR EAST VIC 3033,"55 Berembong Drive, KEILOR EAST VIC 3033",$425.00,2,1,2,,"['0.8 km away', '1.3 km away', '4 km away']"
2,ALFREDTON VIC 3350,"43 Lugano Avenue, ALFREDTON VIC 3350",$420.00,4,2,2,,"['1.5 km away', '2.7 km away', '1.5 km away']"
3,NORTH BENDIGO VIC 3550,"34 St James Wood Drive, NORTH BENDIGO VIC 3550",$460.00,4,2,1,,"['1.1 km away', '1.5 km away', '1.9 km away']"
4,BEVERIDGE VIC 3753,"15 Foundry Circuit, BEVERIDGE VIC 3753",$450,4,2,2,,"['2 km away', '5.8 km away']"
5,ESSENDON VIC 3040,"14 Spencer Street, ESSENDON VIC 3040",$600,3,1,1,,"['0.8 km away', '0.9 km away', '7.3 km away']"
6,GLEN WAVERLEY VIC 3150,"164 Blackburn Road, GLEN WAVERLEY VIC 3150",$520,3,1,1,,"['0.7 km away', '1.6 km away', '3.4 km away']"
7,SANDRINGHAM VIC 3191,"5 Masefield Avenue, SANDRINGHAM VIC 3191",$750,3,1,2,,"['1.1 km away', '1.2 km away', '5.7 km away']"
8,LONGWARRY VIC 3816,"5 Golden Road, LONGWARRY VIC 3816",$430,3,2,2,325,"['0.7 km away', '8.5 km away', '4.7 km away']"
9,CHARLEMONT VIC 3217,"24 Valrose Road, CHARLEMONT VIC 3217",$510.00,4,2,2,,"['1.8 km away', '1.9 km away', '0.6 km away']"
10,YARRAVILLE VIC 3013,"4/25 Eirene Street, YARRAVILLE VIC 3013",$590,3,2,1,,"['0.4 km away', '0.5 km away', '3.5 km away']"
11,AVONDALE HEIGHTS VIC 3034,"9 Aldea Crescent, AVONDALE HEIGHTS VIC 3034",$570,3,2,2,,"['0.2 km away', '1.8 km away', '2 km away']"
12,NORTH SHORE VIC 3214,"10 Myrtle Grove, NORTH SHORE VIC 3214",$440,2,1,2,,"['2.6 km away', '3.6 km away', '5.8 km away']"
13,ROCKBANK VIC 3335,"14 Equity Street, ROCKBANK VIC 3335",$400,3,2,2,,"['1 km away', '6.3 km away', '10.8 km away']"
14,MOUNT WAVERLEY VIC 3149,"11 Viewbank Road, MOUNT WAVERLEY VIC 3149",$700,7,2,4,,"['1 km away', '3.3 km away', '6 km away']"
15,WHEELERS HILL VIC 3150,"80 Whalley Drive, WHEELERS HILL VIC 3150",$550,3,2,1,,"['1 km away', '1.5 km away', '0.3 km away']"
16,SANCTUARY LAKES VIC 3030,"187 Sanctuary Lakes South Boulevard, SANCTUARY LAKES VIC 3030",$600,4,2,2,530,"['1 km away', '2.6 km away', '3.3 km away']"
17,MOONEE PONDS VIC 3039,"13 Moore St, MOONEE PONDS VIC 3039",$720,3,1,1,,"['0.9 km away', '2 km away', '8.2 km away']"
18,CRAIGIEBURN VIC 3064,"1 Liverpool Circuit, CRAIGIEBURN VIC 3064",$585,4,3,2,,"['0.5 km away', '1.3 km away', '13.1 km away']"
19,CAROLINE SPRINGS VIC 3023,"8 Stoneman Turn, CAROLINE SPRINGS VIC 3023",$420,3,1,1,,"['0.5 km away', '0.9 km away', '1.5 km away']"
20,WARRAGUL VIC 3820,"6 Plenty Drive, WARRAGUL VIC 3820",$550,4,2,2,,"['0.5 km away', '0.8 km away', '1.5 km away']"
21,LYNDHURST VIC 3975,"9 Johanna Path, LYNDHURST VIC 3975",$460.00,2,2,1,,"['0.3 km away', '1.4 km away', '11 km away']"
22,WILLIAMS LANDING VIC 3027,"5 Bishopthorpe Road, WILLIAMS LANDING VIC 3027",$460,3,2,1,,"['1.7 km away', '2.1 km away', '2.6 km away']"
23,GLEN WAVERLEY VIC 3150,"90 Shepherd Rd, GLEN WAVERLEY VIC 3150",$630,4,2,2,652,"['0.9 km away', '2.3 km away', '3.8 km away']"
24,CLIFTON HILL VIC 3068,"15 Dally Street, CLIFTON HILL VIC 3068",$700,2,1,0,158,"['0.7 km away', '1.4 km away', '3.3 km away']"
25,CLYDE VIC 3978,"20 Knightsford Avenue, CLYDE VIC 3978",$500,4,2,2,375,"['3.8 km away', '17.5 km away', '0.9 km away']"
26,NEWCOMB VIC 3219,"2 Vega Court, NEWCOMB VIC 3219",$360,3,1,0,,"['0.3 km away', '0.7 km away', '4.3 km away']"
27,YALLOURN NORTH VIC 3825,"5 Roxburgh Road, YALLOURN NORTH VIC 3825",$360,3,1,2,634,"['0.5 km away', '7.1 km away']"
28,MOUNT DUNEED VIC 3217,"20 Pemberton Street, MOUNT DUNEED VIC 3217",$500,4,2,2,,"['0.7 km away', '0.8 km away', '1.8 km away']"
29,CLYDE NORTH VIC 3978,"8 Cropping Street, CLYDE NORTH VIC 3978",$495,4,2,2,,"['2.7 km away', '6.6 km away', '21.4 km away']"
30,FOREST HILL VIC 3131,"13 Longbrae Ave, FOREST HILL VIC 3131",$500,3,1,3,,"['0.6 km away', '1.1 km away', '1.6 km away']"
31,BENTLEIGH EAST VIC 3165,"7b Bevis Street, BENTLEIGH EAST VIC 3165",$865,4,3,2,,"['0.6 km away', '0.7 km away', '1.3 km away']"
32,SUNBURY VIC 3429,"45 Ruthven Street, SUNBURY VIC 3429",$450,4,2,3,,"['0.6 km away', '0.6 km away', '0.6 km away']"
33,SANDRINGHAM VIC 3191,"17/384 Bluff Road, SANDRINGHAM VIC 3191",$550,2,1,1,,"['1 km away', '1 km away', '4.1 km away']"
34,STAWELL VIC 3380,"190 LAKE RD, STAWELL VIC 3380",$280.00,4,1,0,,"['0.8 km away', '2.3 km away', '1.8 km away']"
35,SOUTHBANK VIC 3006,"1307/250 City Rd, SOUTHBANK VIC 3006",$525,2,1,0,,"['0.7 km away', '2 km away', '3.7 km away']"
36,ROXBURGH PARK VIC 3064,"114 Roxburgh Park Drive, ROXBURGH PARK VIC 3064",$480,4,2,1,,"['0.3 km away', '0.9 km away', '1.7 km away']"
37,NARRE WARREN VIC 3805,"9 Western Way, NARRE WARREN VIC 3805",$480,4,1,2,,"['1.3 km away', '1.7 km away', '17.4 km away']"
38,BALWYN NORTH VIC 3104,"10 Seattle Street, BALWYN NORTH VIC 3104",$650,4,2,2,,"['0.6 km away', '1.8 km away', '2 km away']"
39,CANADIAN VIC 3350,"1 Clayton Park Drive, CANADIAN VIC 3350",$360,3,1,2,,"['0.7 km away', '2.5 km away', '2 km away']"
40,POINT COOK VIC 3030,"68 Fongeo Drive, POINT COOK VIC 3030",,4,2,0,,"['0.3 km away', '2.5 km away', '3.9 km away']"
41,MELTON SOUTH VIC 3338,"58 Monash Street, MELTON SOUTH VIC 3338",$315,3,1,0,,"['0.3 km away', '0.8 km away', '3.4 km away']"
42,SURREY HILLS VIC 3127,"38 Erasmus Street, SURREY HILLS VIC 3127",$450,2,1,2,,"['1.1 km away', '2.4 km away', '2.6 km away']"
43,MOE VIC 3825,"55 WIRRAWAY STREET, MOE VIC 3825",$350,3,2,0,,"['0.7 km away', '3 km away', '0.9 km away']"
44,MOE VIC 3825,"55 WIRRAWAY STREET, MOE VIC 3825",$350,3,2,0,,"['0.7 km away', '3 km away', '0.9 km away']"
45,CLYDE VIC 3978,"175 Ernstbrook Drive, CLYDE VIC 3978",$520,4,2,2,,"['5.1 km away', '18.8 km away', '2.1 km away']"
46,CAROLINE SPRINGS VIC 3023,"11 Braeside Walk, CAROLINE SPRINGS VIC 3023",$440.00,3,1,2,,"['0.9 km away', '3.3 km away', '8 km away']"
47,DELAHEY VIC 3037,"12 Blackwood Drive, DELAHEY VIC 3037",$430,3,2,2,,"['0.5 km away', '1.8 km away', '5.9 km away']"
48,MELTON VIC 3337,"168 Station Road, MELTON VIC 3337",$360,3,2,0,585,"['1 km away', '1.2 km away', '1.2 km away']"
49,POINT COOK VIC 3030,"23 Messina Crescent, POINT COOK VIC 3030",$500,4,2,2,,"['0.6 km away', '1.8 km away', '2.8 km away']"
50,WINDSOR VIC 3181,"3 Newry Street, WINDSOR VIC 3181",$700.00,3,1,0,,"['0.4 km away', '0.9 km away', '3.2 km away']"
51,MITCHAM VIC 3132,"21A Victoria Avenue, MITCHAM VIC 3132",$495,3,2,2,,"['0.8 km away', '0.9 km away', '0.4 km away']"
52,LAKE TYERS BEACH VIC 3909,"3 Lind Drive, LAKE TYERS BEACH VIC 3909",$440.00,5,2,5,815,"['2.2 km away', '6.7 km away']"
53,CAMBERWELL VIC 3124,"24 Spencer Rd, CAMBERWELL VIC 3124","$1,300.00",5,3,2,,"['0.2 km away', '1.1 km away', '1.2 km away']"
54,CAMBERWELL VIC 3124,"24 Spencer Rd, CAMBERWELL VIC 3124","$1,300.00",5,3,2,,"['0.2 km away', '1.1 km away', '1.2 km away']"
55,THOMSON VIC 3219,"47 Olney Avenue, THOMSON VIC 3219",$420.00,3,1,2,,"['0.3 km away', '1 km away', '3.7 km away']"
56,WILLIAMSTOWN VIC 3016,"23 Piccolo Circuit, WILLIAMSTOWN VIC 3016",$650,3,3,2,,"['1.1 km away', '1.2 km away', '8.4 km away']"
57,GISBORNE VIC 3437,"25 Lyell Street, GISBORNE VIC 3437",$480.00,3,1,2,,"['0.5 km away', '1.3 km away', '0.7 km away']"
58,MELTON VIC 3337,"59 Carina Drive, MELTON VIC 3337",$360,4,2,2,,"['0.3 km away', '0.3 km away', '0.6 km away']"
59,TARNEIT VIC 3029,"4 Pantanal Road, TARNEIT VIC 3029",$420,3,2,2,,"['1 km away', '2.1 km away', '2.3 km away']"
60,BALLARAT NORTH VIC 3350,"5 Hurley St, BALLARAT NORTH VIC 3350",$300.00,2,1,2,,"['0.3 km away', '3.2 km away', '0.7 km away']"
61,HAWTHORN EAST VIC 3123,"5 Monteath Avenue, HAWTHORN EAST VIC 3123",$620.00,3,1,1,,"['0.6 km away', '1.3 km away', '1.5 km away']"
62,GLEN WAVERLEY VIC 3150,"115/1 Frank Street, GLEN WAVERLEY VIC 3150",$450,2,2,1,,"['1 km away', '1.1 km away', '13.8 km away']"
63,WINCHELSEA VIC 3241,"5 McDonald Drive, WINCHELSEA VIC 3241",$370,3,1,2,,"['0.6 km away', '29.9 km away', '36.8 km away']"
64,HARCOURT VIC 3453,"23 Pippin Court, HARCOURT VIC 3453",$495,4,2,2,826,"['0.5 km away', '9.5 km away']"
65,SANCTUARY LAKES VIC 3030,"59 Middle Park Drive, SANCTUARY LAKES VIC 3030",$440.00,4,2,2,,"['1.2 km away', '2.1 km away', '2.7 km away']"
66,WARRNAMBOOL VIC 3280,"7 Koroit Street, WARRNAMBOOL VIC 3280",$530,3,1,1,785,"['0.5 km away', '1.4 km away', '3.9 km away']"
67,CROYDON VIC 3136,"1/67 Surrey Road East, CROYDON VIC 3136",$495,3,1,0,,"['0.9 km away', '1.4 km away', '2.2 km away']"
68,WARRNAMBOOL VIC 3280,"3/4-6 Banyan Street, WARRNAMBOOL VIC 3280",,1,1,1,,"['1.2 km away', '1.8 km away', '3.7 km away']"
69,BERWICK VIC 3806,"45 Masquerade Road, BERWICK VIC 3806",$800,5,5,2,,"['1.1 km away', '2.8 km away', '20.1 km away']"
70,BAYSWATER VIC 3153,"6 Burton Court, BAYSWATER VIC 3153",$420,3,1,2,,"['1.1 km away', '1.2 km away', '8 km away']"
71,BOX HILL NORTH VIC 3129,"17 Willow St, BOX HILL NORTH VIC 3129",$530,3,1,2,,"['0.5 km away', '0.6 km away', '0.9 km away']"
72,ALFREDTON VIC 3350,"28 Creekstone Drive, ALFREDTON VIC 3350",$420.00,4,2,2,,"['1.2 km away', '2.6 km away', '1.1 km away']"
73,WHEELERS HILL VIC 3150,"17 Holly Green Road, WHEELERS HILL VIC 3150",$730,4,2,2,,"['0.4 km away', '0.9 km away', '0.9 km away']"
74,MARYBOROUGH VIC 3465,"113 Avoca Crescent, MARYBOROUGH VIC 3465",$290,2,1,0,,"['2 km away', '0.3 km away', '0.5 km away']"
75,WHEELERS HILL VIC 3150,"41 Cootamundra Drive, WHEELERS HILL VIC 3150",$550,3,1,2,,"['0.6 km away', '0.9 km away', '0.5 km away']"
76,POINT COOK VIC 3030,"45 Kirkstone Road, POINT COOK VIC 3030",$480.00,4,2,2,,"['0.6 km away', '1.1 km away', '1.7 km away']"
77,STRATHTULLOH VIC 3338,"4 Forestmill Way, STRATHTULLOH VIC 3338",$400,4,2,2,,"['2.6 km away', '5.1 km away', '2.2 km away']"
78,MOE VIC 3825,"31 Vale St, MOE VIC 3825",$400,3,1,1,,"['0.2 km away', '2.4 km away', '0.5 km away']"
79,RICHMOND VIC 3121,"51 Duke Street, RICHMOND VIC 3121",$775,3,2,1,,"['0.7 km away', '0.8 km away', '0.8 km away']"
80,BELLFIELD VIC 3081,"23 Toohey Court, BELLFIELD VIC 3081",$450.00,3,1,2,,"['1.4 km away', '3 km away', '4.8 km away']"
81,HIGHTON VIC 3216,"83A Leigh Road, HIGHTON VIC 3216",$560,3,2,2,,"['1.4 km away', '2.9 km away', '4.9 km away']"
82,WYNDHAM VALE VIC 3024,"98 Chapman Drive, WYNDHAM VALE VIC 3024",$400.00,4,2,2,,"['2.2 km away', '0 km away', '2.1 km away']"
83,BALLARAT CENTRAL VIC 3350,"428 Sturt Street, BALLARAT CENTRAL VIC 3350",$850.00,3,2,2,,"['0.3 km away', '3.3 km away', '0.4 km away']"
84,KEW EAST VIC 3102,"2/1230 Burke Road, KEW EAST VIC 3102",$750.00,3,2,2,,"['0.9 km away', '1.3 km away', '3.8 km away']"
85,TARNEIT VIC 3029,"4 Ceremony Drive, TARNEIT VIC 3029",$450,4,2,2,,"['1 km away', '1.1 km away', '1.4 km away']"
86,TRUGANINA VIC 3029,"45 Ionica loop, TRUGANINA VIC 3029",$450,4,2,2,,"['3.1 km away', '6.2 km away', '2.2 km away']"
87,WHITE HILLS VIC 3550,"445 Napier Street, WHITE HILLS VIC 3550",$500.00,4,2,2,202,"['0.6 km away', '0.8 km away', '3 km away']"
88,FITZROY VIC 3065,"84 Victoria Street, FITZROY VIC 3065",$630.00,2,2,1,,"['0.3 km away', '1.2 km away', '6.5 km away']"
89,ECHUCA VIC 3564,"8 Simmie Street, ECHUCA VIC 3564",$350,4,1,2,,"['1.9 km away', '2.2 km away', '2.4 km away']"
90,CARRUM VIC 3197,"4/619B Nepean Highway, CARRUM VIC 3197",$600,2,1,1,,"['0.6 km away', '1.5 km away', '5.3 km away']"
91,VENUS BAY VIC 3956,"61 Saturn Parade, VENUS BAY VIC 3956",$400,2,1,2,733,"['3.6 km away', '27.8 km away']"
92,RESERVOIR VIC 3073,"30 Elsey Road, RESERVOIR VIC 3073",$450,3,1,1,,"['0.9 km away', '1.3 km away', '0.7 km away']"
93,BENDIGO VIC 3550,"9 Baxter St, BENDIGO VIC 3550",$370,3,1,2,,"['0.9 km away', '1 km away', '2.3 km away']"
94,WODONGA VIC 3690,"128 Thomas Mitchell Drive, WODONGA VIC 3690",$410,3,1,2,,"['1.2 km away', '1.3 km away', '2.2 km away']"
95,MERNDA VIC 3754,"29 Ragusa Terrace, MERNDA VIC 3754",$400,4,2,2,,"['1.2 km away', '8.7 km away', '1.9 km away']"
96,WEST FOOTSCRAY VIC 3012,WEST FOOTSCRAY VIC 3012,$400,3,1,1,,"['0.7 km away', '1.5 km away', '2.1 km away']"
97,WINTER VALLEY VIC 3358,"40 Honour Avenue, WINTER VALLEY VIC 3358",$430.00,4,2,2,,"['2.3 km away', '3.6 km away', '2.2 km away']"
98,CRANBOURNE VIC 3977,"103 Duff Street, CRANBOURNE VIC 3977",$420,4,1,1,,"['0.2 km away', '1.7 km away', '9.8 km away']"
99,CLYDE NORTH VIC 3978,"12 Great Banjo Street, CLYDE NORTH VIC 3978",$520,4,2,2,,"['2.8 km away', '17.2 km away', '0.9 km away']"
100,IVANHOE EAST VIC 3079,"59 York Aveune, IVANHOE EAST VIC 3079","$1,200.00",4,2,2,,"['0.8 km away', '2.9 km away', '5.8 km away']"
101,VERMONT SOUTH VIC 3133,"8 Licola Street, VERMONT SOUTH VIC 3133",$700,5,3,2,,"['0.3 km away', '0.6 km away', '1.2 km away']"
102,NARRE WARREN SOUTH VIC 3805,"6 Timms Street, NARRE WARREN SOUTH VIC 3805",$510,3,2,2,,"['0.8 km away', '1.2 km away', '14.9 km away']"
103,ALFREDTON VIC 3350,"23 Verdale Drive, ALFREDTON VIC 3350",$460.00,4,2,2,,"['1.4 km away', '2.7 km away', '1.3 km away']"
104,BERWICK VIC 3806,"9 Renwarl Close, BERWICK VIC 3806",$800,4,2,2,836,"['0.9 km away', '1.1 km away', '20.7 km away']"
105,RICHMOND VIC 3121,"123 Kent Street, RICHMOND VIC 3121",$620,2,1,1,,"['0.2 km away', '0.4 km away', '0.4 km away']"
106,FERNTREE GULLY VIC 3156,"22 Dorset Road, FERNTREE GULLY VIC 3156",$380,2,1,2,,"['1.1 km away', '2.7 km away', '9.8 km away']"
107,KURUNJANG VIC 3337,"3 Pimbit Court, KURUNJANG VIC 3337",$370,3,2,2,639,"['0.6 km away', '0.8 km away', '2.5 km away']"
108,POINT COOK VIC 3030,"5 Verbena Drive, POINT COOK VIC 3030",$410,4,2,2,,"['0.1 km away', '0.9 km away', '2.5 km away']"
109,PAKENHAM VIC 3810,"25 Leigh Drive, PAKENHAM VIC 3810",$450,3,2,2,,"['0.4 km away', '2.8 km away', '2.5 km away']"
110,CLYDE NORTH VIC 3978,"27 Sigma Way, CLYDE NORTH VIC 3978",$390.00,2,1,1,,"['0.8 km away', '2.1 km away', '16.4 km away']"
111,ASCOT VALE VIC 3032,"4 Sandown Road, ASCOT VALE VIC 3032",$580,2,1,2,,"['0.9 km away', '1.1 km away', '8.6 km away']"
112,HAWTHORN VIC 3122,"320/17 Lynch Street, HAWTHORN VIC 3122",$420,1,1,1,,"['0.3 km away', '0.7 km away', '1.6 km away']"
113,MITCHELL PARK VIC 3355,"20 Regina Street, MITCHELL PARK VIC 3355",$390,4,2,0,,"['1.1 km away', '2.2 km away', '2.2 km away']"
114,SWAN HILL VIC 3585,"53 Gray Street, SWAN HILL VIC 3585",$360,3,1,1,,"['0.8 km away', '1.4 km away', '0.6 km away']"
115,BERWICK VIC 3806,"4 Barber Court, BERWICK VIC 3806",$475,3,2,2,,"['0.4 km away', '0.5 km away', '19.1 km away']"
116,HIGHTON VIC 3216,"19 Amoore Avenue, HIGHTON VIC 3216",$465,4,1,3,,"['0.7 km away', '1.3 km away', '4.8 km away']"
117,MERNDA VIC 3754,"6 Ginninderry Grange, MERNDA VIC 3754",$450,3,2,2,,"['0.4 km away', '4.9 km away', '1.6 km away']"
118,SCORESBY VIC 3179,"2/2 Leagh Court, SCORESBY VIC 3179",$480,2,2,1,,"['0.7 km away', '0.9 km away', '7 km away']"
119,NARRE WARREN VIC 3805,"1 Tamarisk Road, NARRE WARREN VIC 3805",$390,3,2,2,,"['0.2 km away', '2.5 km away', '3 km away']"
120,PRESTON VIC 3072,"19 Bruce Street, PRESTON VIC 3072",$650,3,2,2,,"['0.5 km away', '0.7 km away', '2.5 km away']"
121,BENDIGO VIC 3550,"17 Uley Street, BENDIGO VIC 3550",$500.00,4,1,4,,"['0.6 km away', '0.7 km away', '1.9 km away']"
122,MENTONE VIC 3194,"30 Acacia Avenue, MENTONE VIC 3194",$690.00,5,1,4,,"['0.4 km away', '1.1 km away', '2.8 km away']"
123,BALLARAT NORTH VIC 3350,"9B Killeen Avenue, BALLARAT NORTH VIC 3350",$440,4,2,2,,"['0.5 km away', '2.7 km away', '0.7 km away']"
124,BLACKBURN NORTH VIC 3130,"22 Mall Court, BLACKBURN NORTH VIC 3130",$650.00,4,2,1,,"['0.7 km away', '0.8 km away', '5.2 km away']"
125,NORTHCOTE VIC 3070,"200 Darebin Road, NORTHCOTE VIC 3070",$530,2,1,1,,"['0.6 km away', '1.3 km away', '2.4 km away']"
126,CRAIGIEBURN VIC 3064,"28 Huntingfield Street, CRAIGIEBURN VIC 3064",$460,3,2,2,,"['0.3 km away', '1.5 km away', '2.2 km away']"
127,FRANKSTON VIC 3199,"13/102-104 Hillcrest Road, FRANKSTON VIC 3199",$460,2,1,1,,"['0.8 km away', '1.4 km away', '2 km away']"
128,WARRAGUL VIC 3820,"56 Sunnybrook Avenue, WARRAGUL VIC 3820",$440.00,3,2,1,419,"['1.1 km away', '1.6 km away', '0.7 km away']"
129,ST KILDA WEST VIC 3182,"30/343 Beaconsfield Parade, ST KILDA WEST VIC 3182",$460,2,1,1,,"['0.6 km away', '2.6 km away', '3.5 km away']"
130,LANGWARRIN VIC 3910,"3 Trinity Drive, LANGWARRIN VIC 3910",$640,4,2,2,,"['0.3 km away', '0.4 km away', '2.3 km away']"
131,OCEAN GROVE VIC 3226,"86A Eggleston Street, OCEAN GROVE VIC 3226",$500,3,1,1,,"['0.5 km away', '8.6 km away', '1.2 km away']"
132,BERWICK VIC 3806,"8 Sing Crescent, BERWICK VIC 3806",$470,3,2,2,,"['0.7 km away', '1.6 km away', '18.8 km away']"
133,LONG GULLY VIC 3550,"1 Louis Street, LONG GULLY VIC 3550",$360.00,2,1,2,,"['0.9 km away', '1.7 km away', '3.2 km away']"
134,HIGHTON VIC 3216,"3 Burberry Court, HIGHTON VIC 3216",$550,4,2,4,612,"['1.2 km away', '2.8 km away', '4.6 km away']"
135,WERRIBEE VIC 3030,"4 Fran Court, WERRIBEE VIC 3030",$500,3,2,4,,"['0.2 km away', '2.2 km away', '1.4 km away']"
136,MARYBOROUGH VIC 3465,"9 Napier Street, MARYBOROUGH VIC 3465",$320,3,1,2,,"['1.5 km away', '0.5 km away', '0.6 km away']"
137,BRAYBROOK VIC 3019,"33 Myalla Street, BRAYBROOK VIC 3019",$330,2,1,2,,"['0.6 km away', '1.1 km away', '1.1 km away']"
138,CLYDE NORTH VIC 3978,"40 Karabair Street, CLYDE NORTH VIC 3978",$475,4,2,2,,"['0.7 km away', '1.9 km away', '16.3 km away']"
139,WERRIBEE VIC 3030,"6 Myoora St, WERRIBEE VIC 3030",$390,3,2,2,,"['3.5 km away', '1 km away', '1.4 km away']"
140,WENDOUREE VIC 3355,"1032 Grevillea Road, WENDOUREE VIC 3355",$340.00,3,1,1,,"['0.5 km away', '0.9 km away', '0.9 km away']"
141,WILLIAMS LANDING VIC 3027,"104/2 Clark Street, WILLIAMS LANDING VIC 3027",$430,2,2,1,,"['1.5 km away', '2.1 km away', '2.4 km away']"
142,VERMONT SOUTH VIC 3133,"21 Overland Drive, VERMONT SOUTH VIC 3133",$680,4,2,2,,"['0.3 km away', '0.9 km away', '1.4 km away']"
143,DONCASTER VIC 3108,"14 Park Ave, DONCASTER VIC 3108",$500,3,1,3,,"['1.3 km away', '1.4 km away', '2.4 km away']"
144,OAKLEIGH SOUTH VIC 3167,"5 Washington Drive, OAKLEIGH SOUTH VIC 3167",$650,4,2,2,,"['1.1 km away', '1.6 km away', '2 km away']"
145,LAVERTON VIC 3028,"1/99-101 Old Geelong Road, LAVERTON VIC 3028",$470,3,3,2,,"['0.6 km away', '2.1 km away', '3.3 km away']"
146,CORIO VIC 3214,"4 Harpur Road, CORIO VIC 3214",$300,3,1,1,,"['0.7 km away', '4.5 km away', '7.8 km away']"
147,NORTH GEELONG VIC 3215,"Rooms 1 - 8/2A Walsgott Street, NORTH GEELONG VIC 3215",$270.00,1,1,1,,"['0.7 km away', '0.8 km away', '1.4 km away']"
148,BERWICK VIC 3806,"18 Glenn Erin Way, BERWICK VIC 3806",$500,4,2,2,,"['0.4 km away', '1.6 km away', '18.1 km away']"
149,FOREST HILL VIC 3131,"6 Jaques Grove, FOREST HILL VIC 3131",$695.00,4,2,4,,"['0.7 km away', '0.8 km away', '1.4 km away']"
150,DEANSIDE VIC 3336,"55 Malone Cct, DEANSIDE VIC 3336",$500,3,2,2,,"['1.2 km away', '1.8 km away', '9 km away']"
151,SHEPPARTON VIC 3630,"7 Kestrel Dr, SHEPPARTON VIC 3630",$490.00,4,2,2,,"['1.2 km away', '1.5 km away', '0.8 km away']"
152,FRANKSTON VIC 3199,"6 Netherbrae Road, FRANKSTON VIC 3199",$490,3,1,1,,"['0.5 km away', '0.6 km away', '1.1 km away']"
153,ALTONA NORTH VIC 3025,"333 Blackshaws Road, ALTONA NORTH VIC 3025",$450,3,1,3,,"['0.6 km away', '5.8 km away', '3.2 km away']"
154,MILDURA VIC 3500,"142C Thirteenth Street, MILDURA VIC 3500",$210.00,1,1,2,,"['0.7 km away', '0.8 km away', '1 km away']"
155,MILDURA VIC 3500,"12 Wood Street, MILDURA VIC 3500",$420,3,2,2,,"['0.9 km away', '3.2 km away', '3.6 km away']"
156,SCOTSBURN VIC 3352,"384 Pryors Road, SCOTSBURN VIC 3352",$750,4,3,4,,"['3.8 km away', '7.1 km away', '11.9 km away']"
157,EPPING VIC 3076,"10 Palmero Street, EPPING VIC 3076",$365,2,1,1,,"['1.5 km away', '1.9 km away', '3.9 km away']"
158,HEIDELBERG WEST VIC 3081,"67 Pacific Drive, HEIDELBERG WEST VIC 3081",$360.00,2,1,2,,"['1.2 km away', '1.8 km away', '2.1 km away']"
159,CRANBOURNE VIC 3977,"16 Camms Road, CRANBOURNE VIC 3977",$380,3,1,1,584,"['0.7 km away', '2 km away', '10.1 km away']"
160,STRATFORD VIC 3862,"109 Lee Street, STRATFORD VIC 3862",$500,4,2,0,,"['1 km away', '10 km away', '1.6 km away']"
161,WERRIBEE VIC 3030,"61 Abbeygate Drive, WERRIBEE VIC 3030",$350,3,2,2,,"['1.6 km away', '3.1 km away', '1.5 km away']"
162,CLAYTON VIC 3168,"1/27 Evelyn Street, CLAYTON VIC 3168",$550,4,2,1,,"['0.7 km away', '1.1 km away', '2.3 km away']"
163,BRUNSWICK WEST VIC 3055,"G13/358 Moreland Road, BRUNSWICK WEST VIC 3055",$430,2,1,1,,"['0.6 km away', '2 km away', '0.5 km away']"
164,MORWELL VIC 3840,"87 Robertson Street, MORWELL VIC 3840",$350.00,3,1,2,,"['0.3 km away', '1 km away', '0.8 km away']"
165,HOPPERS CROSSING VIC 3029,"55 Bourke Crescent, HOPPERS CROSSING VIC 3029",$410,4,2,2,,"['0.9 km away', '0.9 km away', '0.7 km away']"
166,HAWTHORN VIC 3122,"41 Haines Street, HAWTHORN VIC 3122",$675,3,1,0,,"['0.7 km away', '0.9 km away', '2.4 km away']"
167,BOX HILL VIC 3128,"207/1 Archibald Street, BOX HILL VIC 3128",$440.00,2,2,1,,"['1.2 km away', '1.4 km away', '1.7 km away']"
168,NORTHCOTE VIC 3070,"238 Mitchell Street, NORTHCOTE VIC 3070",$530.00,2,1,1,,"['0.6 km away', '2.1 km away', '2.8 km away']"
169,BAIRNSDALE VIC 3875,"418 Forge Creek Road, BAIRNSDALE VIC 3875",$350.00,3,1,0,,"['4.3 km away', '4.8 km away', '3.3 km away']"
170,RICHMOND VIC 3121,"67 Church Street, RICHMOND VIC 3121",$680,3,1,0,120,"['0.4 km away', '0.5 km away', '0.5 km away']"
171,WALLAN VIC 3756,"70 Augusta Way, WALLAN VIC 3756",$480,4,2,2,791,"['2.4 km away', '2.7 km away', '2.8 km away']"
172,POINT COOK VIC 3030,"16 Keppel Way, POINT COOK VIC 3030",$460,4,2,2,,"['0.5 km away', '2.9 km away', '3.9 km away']"
173,CARRUM DOWNS VIC 3201,"14 Pardalote Avenue, CARRUM DOWNS VIC 3201",$470,3,2,2,,"['0.7 km away', '1.8 km away', '4 km away']"
174,HARKNESS VIC 3337,"3/16 Marlo Drive, HARKNESS VIC 3337",$350,3,2,2,226,"['0.8 km away', '1.7 km away', '1.8 km away']"
