Caulfield East ,N/A,1.01%,N/A,$280
Caulfield North ,16.27%,4.55%,$750,$400
Caulfield South ,11.75%,14.45%,$620,$427.5
Caulfield South ,11.75%,14.45%,$620,$427.5
Chadstone ,14.16%,0.61%,$460,$475
Charlton ,39%,N/A,N/A,N/A
Chelsea Heights ,13.29%,2%,$520,$447.5
Chelsea Heights ,13.29%,2%,$520,$447.5
Cheltenham ,19.21%,4.03%,$570,$425
Chewton ,N/A,N/A,N/A,N/A
Chiltern ,24.61%,N/A,N/A,N/A
Chirnside Park ,11.9%,-2.36%,$490,$455
Chum Creek ,N/A,N/A,N/A,N/A
Churchill ,37.5%,N/A,$320,N/A
Clarinda ,17.71%,12%,$440,$445
Clayton South ,16.42%,18.18%,$430,$390
Clayton ,7.62%,7.91%,$430,$400
Clifton Hill ,14.25%,-18.15%,$700,$440
Clifton Springs ,28.21%,N/A,$420,N/A
Clunes ,8.43%,N/A,N/A,N/A
Clyde North ,15.32%,N/A,$450,N/A
Clyde North ,15.32%,N/A,$450,N/A
Cobden ,21.25%,N/A,$320,N/A
Cobram ,15.63%,15.29%,$360,$280
Coburg North ,17.44%,15.3%,$500,$430
Coburg North ,17.44%,15.3%,$500,$430
Cockatoo ,21.54%,N/A,$430,N/A
Cohuna ,14.58%,N/A,N/A,N/A
Colac West ,N/A,N/A,N/A,N/A
Coldstream ,28.01%,N/A,N/A,N/A
Coleraine ,47.37%,N/A,N/A,N/A
Collingwood ,10.68%,1.98%,$625,$475
Cook ,14.68%,35.69%,$600,$530
Coolaroo ,10.53%,N/A,$350,N/A
Corinella ,36.14%,N/A,$425,N/A
Corio ,19.51%,26.06%,$350,$270
Coronet Bay ,39.39%,N/A,$360,N/A
Corryong ,18.29%,N/A,N/A,N/A
Cowes ,37.73%,39.64%,$430,$380
Craigieburn ,12.3%,4.93%,$410,$350
Cranbourne East ,14.17%,14.91%,$440,$395
Cranbourne North ,13%,9.94%,$430,$390
Cranbourne West ,17.65%,12.96%,$420,$397.5
Cranbourne ,14.17%,14.91%,$440,$395
Cremorne ,-2.02%,5.59%,$645,$500
Creswick ,25%,N/A,$350,N/A
Crib Point ,28.91%,38.1%,$500,$390
Croydon Hills ,18.95%,N/A,$580,N/A
Croydon North ,17.65%,-2.39%,$477.5,$450
Croydon South ,20%,18.54%,$480,$442.5
Croydon South ,20%,18.54%,$480,$442.5
Culgoa ,N/A,N/A,N/A,N/A
Dallas ,8.62%,14.67%,$342.5,$300
Dalyston ,28.11%,N/A,N/A,N/A
Dandenong South ,N/A,N/A,N/A,N/A
Darley ,25.11%,22.63%,$400,$347.5
Daylesford ,14.19%,N/A,$475,$328
Deepdene ,15.84%,N/A,$925,$450
Deer Park ,6.72%,4.21%,$380,$350
Delacombe ,22.22%,N/A,$380,N/A
Delahey ,13.36%,N/A,$390,N/A
Denison ,N/A,N/A,N/A,N/A
Dennington ,34.13%,N/A,$470,N/A
Derrimut ,N/A,N/A,N/A,N/A
Diamond Creek ,21.49%,-1.15%,$560,$447.5
Diggers Rest ,18.1%,N/A,$420,N/A
Dimboola ,21.21%,N/A,N/A,N/A
Dingley Village ,14.18%,19.67%,$540,$442.5
Dinner Plain ,40.49%,N/A,N/A,N/A
Docklands ,N/A,0.93%,N/A,$450
Donald ,31.94%,N/A,$260,N/A
Doncaster East ,18.05%,15.08%,$550,$470
Doncaster ,12.27%,6.86%,$550,$430
Donvale ,13.36%,14%,$510,$495
Doreen ,12.12%,13.99%,$420,$365
Doveton ,14.94%,11.6%,$350,$360
Dromana ,22.27%,12.04%,$550,$450
Drouin East ,N/A,N/A,N/A,N/A
Drumcondra ,N/A,N/A,N/A,N/A
Drysdale ,28.21%,14.81%,$425,$380
Dudley ,28.38%,N/A,$550,N/A
Dunolly ,5.91%,N/A,N/A,N/A
Eagle Point ,9.2%,N/A,N/A,N/A
Eaglehawk ,20.15%,43.3%,$380,$280
Eaglemont ,16.36%,N/A,$690,$429
East Bairnsdale ,15.31%,N/A,$380,N/A
East Bendigo ,38.67%,N/A,$370,N/A
East Geelong ,11.75%,N/A,$450,N/A
East Melbourne ,12.14%,-6.69%,$900,$460
East Warburton ,6.35%,N/A,N/A,N/A
Eastwood ,25%,N/A,$450,N/A
Echuca West ,N/A,N/A,N/A,N/A
Edenhope ,31.25%,N/A,$265,N/A
Edithvale ,22.61%,18.02%,$530,$500
Eildon ,22.48%,N/A,N/A,N/A
Elaine ,N/A,N/A,N/A,N/A
Elliminyt ,1.83%,N/A,$470,N/A
Elmore ,13.67%,N/A,N/A,N/A
Elsternwick ,6.41%,0.87%,$780,$420
Eltham North ,22.73%,N/A,$650,N/A
Eltham North ,22.73%,N/A,$650,N/A
Elwood ,7.14%,3.76%,$800,$400
Emerald ,12.56%,N/A,$530,N/A
Endeavour Hills ,11.96%,5.72%,$420,$375
Enfield ,N/A,N/A,N/A,N/A
Epping ,15.7%,12.86%,$400,$350
Epsom ,28.89%,N/A,$427.5,N/A
Erica ,N/A,N/A,N/A,N/A
Essendon North ,16.6%,-19.05%,$497.5,$345
Essendon West ,16.14%,N/A,$510,$437.5
Essendon West ,16.14%,N/A,$510,$437.5
Eumemmerring ,12.79%,15.38%,$410,$340
Eureka ,8.19%,N/A,$330,N/A
Euroa ,15.38%,N/A,$390,N/A
Eynesbury ,13.01%,N/A,$450,N/A
Fairfield ,18.03%,10.25%,$640,$340
Fairhaven ,2.75%,N/A,N/A,N/A
Fawkner ,12.01%,10.28%,$400,$370
Ferntree Gully ,15.09%,9.27%,$450,$410
Ferny Creek ,14.84%,N/A,N/A,N/A
Fingal ,33.62%,N/A,N/A,N/A
Fitzroy North ,3.21%,11.16%,$700,$450
Fitzroy ,5.52%,-1.13%,$680,$500
Flemington ,29.47%,2.11%,$550,$340
Flinders ,41.84%,N/A,N/A,N/A
Flora Hill ,29.64%,12.59%,$380,$320
Flowerdale 3717 ,N/A,N/A,N/A,N/A
Flowerdale ,N/A,N/A,N/A,N/A
Footscray ,13.74%,7.29%,$470,$350
Forest Hill ,16.11%,-5.77%,$457.5,$400
Foster North ,N/A,N/A,N/A,N/A
Frankston North ,25%,N/A,$375,N/A
Frankston South ,29.44%,11.92%,$520,$445
Frankston South ,29.44%,11.92%,$520,$445
Gardenvale ,N/A,N/A,$720,$290
Garfield North ,N/A,N/A,N/A,N/A
Geelong West ,16.54%,17.8%,$470,$385
Geelong ,11.76%,-1.52%,$475,$440
Gellibrand ,N/A,N/A,N/A,N/A
Gembrook ,19.05%,N/A,N/A,N/A
Gisborne ,15.4%,1.9%,$550,$410
Gladstone Park ,12.12%,N/A,$420,N/A
Glen Huntly ,12.69%,-12.51%,$467.5,$372.5
Glen Iris ,14.06%,-1.29%,$797,$395
Glen Waverley ,18.48%,10.78%,$530,$465
Glenrowan ,N/A,N/A,N/A,N/A
Glenroy ,12.87%,5.11%,$395,$365
Golden Beach ,30.28%,N/A,N/A,N/A
Golden Point ,26.78%,24.06%,$330,$320
Golden Square ,19.95%,24.6%,$390,$350
Gordon ,19.77%,N/A,N/A,N/A
Goughs Bay ,N/A,N/A,N/A,N/A
Gowanbrae ,20.89%,23.93%,$520,$430
Grantville ,20%,N/A,$432.5,N/A
Great Western ,N/A,N/A,N/A,N/A
Greensborough ,18.36%,8.53%,$500,$420
Greenvale ,16.07%,N/A,$460,N/A
Grovedale ,22.1%,17.61%,$440,$372.5
Hadfield ,11.38%,0%,$432.5,$390
Hallam ,11.72%,15.73%,$400,$360
Hamilton ,20.4%,29.39%,$335,$270
Hamlyn Heights ,26.25%,8.92%,$420,$397.5
Hampton East ,10.06%,13.92%,$630,$470
Hampton Park ,15.18%,19.66%,$380,$370
Hampton ,18.13%,-3.42%,$950,$530
Harkaway ,N/A,N/A,N/A,N/A
Hastings ,21.75%,24.93%,$450,$390
Hawthorn East ,8.24%,-1.47%,$705,$385
Hawthorn ,7.52%,5.06%,$750,$360
Healesville ,12.5%,22.16%,$550,$420
Heathcote ,7.32%,N/A,$350,N/A
Heatherton ,18%,N/A,$600,$420
Heathmont ,16.1%,10.91%,$465,$430
Hedley ,N/A,N/A,N/A,N/A
Heidelberg Heights ,18.65%,6.06%,$425,$440
Heidelberg West ,20.23%,7.5%,$375,$400
Heidelberg ,17.63%,-1.34%,$522.5,$420
Hepburn Springs ,26.87%,N/A,N/A,N/A
Hepburn ,25.42%,N/A,N/A,N/A
Herne Hill ,16.62%,13.42%,$430,$290
Heyfield ,22.81%,N/A,N/A,N/A
Heywood ,17.01%,N/A,N/A,N/A
Highett ,17.78%,4.45%,$632.5,$442.5
Highton ,15.82%,17.71%,$470,$370
Hillside ,7.29%,2.88%,$430,$367.5
Hopetoun ,-0.63%,N/A,N/A,N/A
Hoppers Crossing ,8.57%,3.07%,$350,$320
Horsham ,19.66%,6.73%,$345,$300
Hughesdale ,21.04%,5.97%,$535,$405
Huntingdale ,8.03%,-44.26%,$460,$360
Huntly ,27.13%,N/A,$420,N/A
Huon ,N/A,N/A,N/A,N/A
Hurstbridge ,14.1%,N/A,$530,N/A
Indented Head ,25.67%,N/A,$450,N/A
Inglewood ,39.17%,N/A,N/A,N/A
Inverloch ,28.28%,39.38%,$450,$425
Invermay Park ,26.29%,N/A,$422.5,N/A
Ironbark ,21.63%,N/A,$360,N/A
Irymple ,15.29%,N/A,$410,N/A
Ivanhoe East ,21.48%,-0.17%,$684,$385
Ivanhoe ,4.8%,11.71%,$600,$430
Jacana ,10.39%,N/A,$335,N/A
Jackass Flat ,16.67%,N/A,$420,N/A
Jamieson ,28.16%,N/A,N/A,N/A
Jan Juc ,12.3%,N/A,$650,N/A
Jeparit ,29.55%,N/A,N/A,N/A
Junction Village ,13.18%,6.42%,N/A,N/A
Junortoun ,0.97%,N/A,$515,N/A
Kalimna ,26.78%,N/A,$430,N/A
Kallista ,4.85%,N/A,N/A,N/A
Kalorama ,2.09%,N/A,N/A,N/A
Kangaroo Flat ,25%,17.5%,$400,$340
Kaniva ,48.91%,N/A,N/A,N/A
Kealba ,16.28%,N/A,$395,N/A
Keilor Downs ,17%,17.94%,$410,$380
Keilor East ,23.02%,4.04%,$430,$430
Keilor Lodge ,N/A,N/A,$500,N/A
Keilor Park ,16.61%,N/A,$425,$390
Keilor North ,N/A,N/A,N/A,N/A
Kennington ,30.53%,25.95%,$400,$330
Kensington ,17.34%,7.41%,$580,$400
Kerang ,13.72%,N/A,$260,N/A
Kew East ,11.58%,0.48%,$770,$462.5
Kew ,5.86%,-4.54%,$800,$430
Keysborough ,16.16%,-1.03%,$480,$480
Kialla ,15.65%,N/A,$470,N/A
Kilcunda ,13.96%,N/A,N/A,N/A
Kilmore ,20.1%,19.12%,$400,$350
Kilsyth South ,25.72%,N/A,$495,N/A
Kilsyth South ,25.72%,N/A,$495,N/A
Kinglake ,9.23%,N/A,N/A,N/A
Kings Park ,11.71%,N/A,$350,N/A
Kingsbury ,8.64%,3.11%,$395,$350
Kingsville ,14.14%,0.65%,$550,$297.5
Knoxfield ,12.39%,11.07%,$475,$450
Koo Wee Rup ,12.6%,17.59%,$480,$325
Koondrook ,25.49%,N/A,N/A,N/A
Kooyong ,N/A,N/A,N/A,N/A
Koroit ,14.82%,N/A,$450,N/A
Korumburra ,12.81%,21.75%,$400,$340
Kurunjang ,18.58%,14.01%,$340,$315
Kyabram ,16.67%,33.33%,$330,$280
Kyneton ,17.92%,12.24%,$515,$422.5
Lake Boga ,49.43%,N/A,N/A,N/A
Lake Gardens ,19.67%,N/A,$430,N/A
Lake Tyers Beach ,N/A,N/A,N/A,N/A
Lake Wendouree ,33.93%,14.58%,$400,$360
Lakes Entrance ,23.57%,30.28%,$380,$280
Lalor ,10.35%,13.71%,$370,$350
Lancefield ,23.31%,N/A,$480,N/A
Lang Lang ,26.48%,N/A,$405,N/A
Langwarrin ,23.13%,18.37%,$462.5,$400
Lara ,20.48%,24.68%,$480,$360
Launching Place ,10.12%,N/A,N/A,N/A
Laverton North ,N/A,N/A,N/A,N/A
Laverton ,9.44%,-5.37%,$340,$380
Leneva ,20.62%,N/A,$480,N/A
Leongatha ,12.02%,22.41%,$372.5,$280
Leopold ,25.45%,14.06%,$450,$378
Lethbridge ,N/A,N/A,N/A,N/A
Lilydale ,8.85%,12.74%,$470,$400
Linton ,N/A,N/A,N/A,N/A
Lismore ,N/A,N/A,N/A,N/A
Loch Sport ,25.47%,N/A,N/A,N/A
Loch ,N/A,N/A,N/A,N/A
Long Gully ,21.32%,31.67%,$380,$340
Longwarry ,18.63%,N/A,$420,N/A
Lonsdale ,N/A,N/A,N/A,N/A
Lorne ,32.55%,N/A,N/A,N/A
Lovely Banks ,N/A,N/A,N/A,N/A
Lower Plenty ,41.13%,11.52%,$592.5,$400
Lucknow ,17.95%,N/A,$380,N/A
Lynbrook ,8.43%,N/A,$450,$412.5
Lyndhurst ,21.51%,N/A,$490,N/A
Lysterfield South ,N/A,N/A,N/A,N/A
Lysterfield South ,N/A,N/A,N/A,N/A
Macedon ,15.71%,N/A,N/A,N/A
Macleod ,11.08%,11.94%,$475,$400
Maddingley ,8.41%,N/A,$422.5,N/A
Maffra ,14.42%,N/A,$350,N/A
Maiden Gully ,18.45%,N/A,$485,N/A
Maidstone ,10.22%,-7.19%,$430,$420
Maldon ,16.78%,N/A,$397.5,N/A
Mallacoota ,2.22%,N/A,N/A,N/A
Malmsbury ,6.64%,N/A,N/A,N/A
Malvern East ,16.47%,13.64%,$635,$359
Malvern ,14.03%,3.18%,$850,$400
Manifold Heights ,8.7%,15.47%,$450,$320
Mansfield ,17.67%,21.66%,$430,$390
Maribyrnong ,23.59%,5.88%,$500,$380
Marong ,25.52%,N/A,$430,N/A
Marshall ,27.32%,N/A,$450,N/A
Maryborough ,22.29%,22.33%,$255,$235
Marysville ,17.65%,N/A,N/A,N/A
Mccrae ,7.33%,41.98%,$545,N/A
Mckinnon ,15.41%,14.63%,$700,$500
Meadow Heights ,12.62%,3.53%,$370,$360
Meadows ,1.65%,N/A,N/A,N/A
Melbourne ,N/A,-5.08%,N/A,$380
Melton South ,13.27%,12.58%,$330,$300
Melton West ,9.79%,N/A,$350,N/A
Melton West ,9.79%,N/A,$350,N/A
Mentone ,23.48%,-0.02%,$655,$395
Menzies Creek ,18.53%,N/A,N/A,N/A
Merbein South ,N/A,N/A,N/A,N/A
Meredith ,N/A,N/A,N/A,N/A
Mernda ,15%,1.19%,$410,$370
Merrijig ,17.99%,N/A,N/A,N/A
Metung ,28.87%,46.3%,$430,N/A
Mickleham ,12.81%,N/A,$410,$372.5
Middle Park ,5.95%,20.76%,$750,$450
Mildura ,14.29%,17.15%,$365,$300
Mill Park ,11.9%,8.51%,$400,$360
Millgrove ,36.38%,N/A,N/A,N/A
Miners Rest ,27.52%,N/A,$415,N/A
Minyip ,45.79%,N/A,N/A,N/A
Mirboo North ,37.13%,N/A,$330,N/A
Mitcham ,10.18%,1.25%,$455,$415
Mitchell Park ,N/A,N/A,N/A,N/A
Moe South ,N/A,N/A,N/A,N/A
Monbulk ,15.87%,N/A,$465,N/A
Mont Albert North ,19.08%,20.6%,$535,$480
Mont Albert ,10.59%,18.46%,$687.5,$425
Montmorency ,29.11%,11.11%,$532.5,$440
Montrose ,17.39%,N/A,$440,N/A
Moondarra ,N/A,N/A,N/A,N/A
Moonee Ponds ,16.49%,8.93%,$565,$390
Moorabbin ,24.78%,27.71%,$572.5,$440
Mooroolbark ,17.21%,12.46%,$452.5,$420
Mooroopna ,35.81%,31.25%,$340,$250
Mordialloc ,10.9%,10.55%,$590,$425
Mornington ,18.1%,8.87%,$580,$500
Mortlake ,19.64%,N/A,$340,N/A
Morwell ,32.74%,21.62%,$300,$235
Mount Beauty ,38.36%,N/A,N/A,N/A
Mount Clear ,28.42%,17.89%,$380,$300
Mount Cottrell ,N/A,N/A,N/A,N/A
Mount Dandenong ,14.48%,N/A,N/A,N/A
Mount Eliza ,18.85%,16.82%,$880,$450
Mount Evelyn ,15.17%,N/A,$480,N/A
Mount Helen ,19.9%,N/A,$420,N/A
Mount Macedon ,20.72%,N/A,$520,N/A
Mount Martha ,25.53%,11.48%,$690,$585
Mount Pleasant ,27.38%,N/A,$370,N/A
Mount Waverley ,17.04%,8.03%,$500,$490
Mulgrave ,9.99%,3.13%,$460,$460
Murchison ,N/A,N/A,N/A,N/A
Murrumbeena ,12.87%,-7.75%,$600,$335
Murtoa ,49.9%,N/A,$227.5,N/A
Myrtleford ,45.77%,N/A,$370,N/A
Nagambie ,19.19%,N/A,$450,N/A
Nar Nar Goon North ,N/A,N/A,N/A,N/A
Narre Warren North ,16.8%,N/A,$595,N/A
Narre Warren South ,13.77%,N/A,$450,$382.5
Narre Warren ,14.84%,4.85%,$410,$370
Nathalia ,5.83%,N/A,$300,N/A
Natimuk ,N/A,N/A,N/A,N/A
Neerim South ,10.89%,N/A,N/A,N/A
Nelson ,42.59%,N/A,N/A,N/A
New Gisborne ,8.59%,N/A,$570,N/A
Newborough ,20.78%,21.56%,$350,$227.5
Newcomb ,18.81%,16.14%,$390,$350
Newhaven ,N/A,N/A,N/A,N/A
Newington ,-17.49%,N/A,$360,N/A
Newlands Arm ,-6.15%,N/A,N/A,N/A
Newport ,15.45%,1.27%,$540,$470
Newtown ,33.33%,10.34%,$500,$400
Nhill ,10.45%,N/A,$250,N/A
Nichols Point ,22.32%,N/A,N/A,N/A
Niddrie ,13.04%,5.02%,$450,$482.5
Noble Park North ,12.55%,15.56%,$395,$367.5
Noble Park North ,12.55%,15.56%,$395,$367.5
Norlane ,18.99%,11.27%,$320,$320
North Bendigo ,20.73%,N/A,$380,$350
North Geelong ,15.77%,N/A,$400,N/A
North Melbourne ,9.97%,-0.65%,$610,$380
North Warrandyte ,11.21%,N/A,$665,N/A
North Wonthaggi ,33.91%,N/A,$450,N/A
Northcote ,15.21%,11.63%,$680,$410
Notting Hill ,17%,2.16%,$420,$360
Numurkah ,10.53%,41.67%,$280,$200
Nunawading ,20.31%,-7.13%,$460,$400
Nyah West ,N/A,N/A,N/A,N/A
Nyora ,-0.33%,N/A,N/A,N/A
Oak Park ,23.04%,4.47%,$480,$400
Oakleigh East ,11.4%,4.56%,$500,$455
Oakleigh South ,14.98%,5.46%,$475,$410
Oakleigh ,11.4%,4.56%,$500,$455
Ocean Grove ,28.58%,32.27%,$540,$472.5
Officer ,8.93%,9.78%,$430,$390
Olinda ,13.72%,N/A,$487.5,N/A
Orbost ,9.68%,N/A,$300,N/A
Ormond ,18.18%,30.97%,$620,$370
Ouyen ,19.18%,N/A,N/A,N/A
Ovens ,N/A,N/A,N/A,N/A
Pakenham Upper ,N/A,N/A,N/A,N/A
Paradise Beach ,40%,N/A,N/A,N/A
Park Orchards ,10.42%,N/A,N/A,N/A
Parkdale ,26.81%,15.82%,$650,$440
Parkville ,15.94%,-0.78%,$850,$360
Pascoe Vale South ,6.9%,46.04%,$500,$400
Pascoe Vale South ,6.9%,46.04%,$500,$400
Paterson ,-4.21%,N/A,N/A,N/A
Patterson Lakes ,25.96%,4.97%,$715,$430
Paynesville ,22.81%,26.3%,$420,$300
Pearcedale ,20%,N/A,$490,N/A
Pioneer Bay ,24%,N/A,N/A,N/A
Plenty ,4.23%,N/A,N/A,N/A
Point Cook ,9.38%,6%,$420,$380
Point Lonsdale ,52.34%,N/A,$510,N/A
Porcupine Ridge ,N/A,N/A,N/A,N/A
Porepunkah ,N/A,N/A,N/A,N/A
Port Fairy ,42.86%,N/A,$450,N/A
Port Melbourne ,6.57%,10.28%,$700,$550
Portarlington ,22.83%,12.4%,$420,$400
Portland ,32.79%,42.5%,$360,$300
Portsea ,32.51%,N/A,$1325,N/A
Prahran ,3.34%,7.01%,$730,$385
Preston ,11.22%,6.44%,$500,$390
Princes Hill ,19.2%,N/A,$700,N/A
Quarry Hill ,21.7%,N/A,$400,$320
Queenscliff ,7.82%,N/A,$470,N/A
Rainbow ,23.76%,N/A,N/A,N/A
Ravenhall ,N/A,N/A,N/A,N/A
Raymond Island ,31.52%,N/A,N/A,N/A
Red Cliffs ,10.65%,N/A,$330,N/A
Red Hill South ,N/A,N/A,N/A,N/A
Redan ,10.84%,3.08%,$350,$300
Research ,0.2%,N/A,N/A,N/A
Reservoir ,12.94%,8.62%,$400,$370
Rhyll ,34.19%,N/A,N/A,N/A
Richmond ,9.89%,1.54%,$650,$425
Riddells Creek ,20.82%,N/A,$530,N/A
Ringwood East ,22.72%,15.75%,$450,$400
Ringwood North ,17.07%,8.92%,$540,$440
Ringwood North ,17.07%,8.92%,$540,$440
Rippleside ,46.82%,N/A,$510,N/A
Ripponlea ,N/A,-2.26%,$575,$372.5
Robinvale Irrigation District Section E ,N/A,N/A,N/A,N/A
Rochester ,46.07%,N/A,N/A,N/A
Rockbank ,24.18%,N/A,$390,N/A
Romsey ,16.17%,13.59%,$440,N/A
Rosanna ,16.03%,24.96%,$482.5,$455
Rosebud West ,N/A,N/A,N/A,N/A
Rosebud ,32.68%,25.94%,$460,$450
Rosedale ,36.67%,N/A,$340,N/A
Rowville ,21.35%,-2.31%,$510,$425
Roxburgh Park ,6.33%,-2.84%,$415,$360
Rushworth ,25.45%,N/A,N/A,N/A
Rutherglen ,14.83%,N/A,$340,N/A
Rye ,34.83%,16.39%,$530,$400
Safety Beach ,35.68%,7.48%,$637.5,$560
