Abbotsford ,13.15%,1.67%,$650,$417.5
Aberfeldie ,14.35%,N/A,$575,$450
Aireys Inlet ,29.56%,N/A,N/A,N/A
Airport West ,13.73%,6.02%,$450,$430
Albanvale ,7.36%,N/A,$350,N/A
Albert Park ,15.67%,30.99%,$785,$420
Albion ,14.58%,-8.92%,$350,$275
Alexandra ,24.5%,N/A,$370,N/A
Alfredton ,16.67%,5.27%,$420,$320
Alphington ,17.95%,23.36%,$750,$425
Altona Meadows ,13.64%,4.89%,$370,$340
Altona North ,17.65%,7.14%,$455,$450
Altona ,23.41%,6.79%,$445,$380
Anglesea ,43.7%,N/A,$600,N/A
Apollo Bay ,21.04%,31.68%,N/A,$425
Ararat ,30.77%,46.74%,$320,$330
Ardeer ,9.43%,-6.78%,$340,$360
Armadale ,3.92%,-8.6%,$750,$420
Ascot Vale ,8.28%,10%,$580,$372.5
Ascot ,18.44%,N/A,$440,N/A
Ashburton ,27.57%,N/A,$650,$550
Ashwood ,15.57%,-2.69%,$500,$450
Aspendale Gardens ,19.62%,N/A,$577.5,N/A
Aspendale Gardens ,19.62%,N/A,$577.5,N/A
Attwood ,20.56%,N/A,N/A,N/A
Avenel ,13.07%,N/A,N/A,N/A
Avoca ,26.32%,N/A,$217.5,N/A
Avondale Heights ,13.79%,1.51%,$410,$417.5
Avonsleigh ,7.26%,N/A,N/A,N/A
Bacchus Marsh ,14.09%,21.74%,$400,$330
Badger Creek ,12.63%,N/A,N/A,N/A
Bairnsdale ,15.31%,N/A,$380,N/A
Balaclava ,12.21%,4.98%,$637.5,$370
Ballan ,12.45%,0%,$380,N/A
Ballarat Central ,31.58%,29.55%,$380,$330
Ballarat East ,18.6%,23.31%,$350,$330
Ballarat North ,15.9%,13.24%,$360,$300
Balnarring Beach ,40.82%,N/A,N/A,N/A
Balnarring ,24.36%,N/A,N/A,N/A
Balwyn North ,17.35%,22.32%,$600,$487.5
Balwyn ,15.67%,5.99%,$775,$425
Bandiana ,N/A,N/A,$450,N/A
Bannockburn ,17.07%,N/A,$440,N/A
Baranduda ,25%,N/A,$450,N/A
Barmah ,N/A,N/A,N/A,N/A
Barnawartha ,10.72%,N/A,$380,N/A
Barwon Heads ,33.76%,42.61%,$675,$637.5
Bass ,N/A,N/A,N/A,N/A
Batesford ,N/A,N/A,N/A,N/A
Baxter ,24.26%,N/A,$460,N/A
Bayswater North ,16.82%,11.84%,$450,$392.5
Bayswater North ,16.82%,11.84%,$450,$392.5
Beaconsfield Upper ,3.74%,N/A,N/A,N/A
Beaconsfield ,16.95%,11.06%,$452.5,$400
Beaufort ,14.16%,N/A,$317.5,N/A
Beaumaris ,20.31%,25.02%,$860,$610
Beechworth ,16.07%,N/A,$435,N/A
Belgrave Heights ,18.31%,N/A,N/A,N/A
Belgrave South ,22.7%,N/A,N/A,N/A
Belgrave ,18.31%,N/A,N/A,N/A
Bell Park ,25%,11.17%,$400,$380
Bell Post Hill ,26.42%,20.03%,$420,$385
Bellfield ,15.4%,N/A,$450,N/A
Belmont ,15.74%,19.46%,$430,$390
Benalla ,23.88%,31.18%,$400,$300
Bendigo ,12.27%,-4.17%,$400,$350
Bentleigh East ,16.31%,18.37%,$570,$540
Bentleigh ,13.95%,24.67%,$650,$465
Berwick ,17.41%,4.34%,$450,$400
Beveridge ,18.05%,N/A,$420,N/A
Birchip ,7.69%,N/A,N/A,N/A
Birregurra ,35.24%,N/A,N/A,N/A
Bittern ,15.69%,N/A,$520,N/A
Black Hill ,16.34%,31.53%,$350,$315
Black Rock ,22.48%,26.83%,$925,$560
Blackburn North ,14.01%,20.39%,$490,$450
Blackburn South ,13.61%,44.91%,$500,$460
Blackburn ,14.01%,20.39%,$490,$450
Blairgowrie ,28.93%,N/A,$585,N/A
Blind Bight ,20.83%,N/A,N/A,N/A
Bonbeach ,38.5%,1.91%,$540,$412.5
Bonnie Doon ,47.37%,N/A,N/A,N/A
Boolarra ,32.52%,N/A,N/A,N/A
Boort ,30.56%,N/A,N/A,N/A
Boronia ,14.67%,12.61%,$430,$395
Botanic Ridge ,19.8%,N/A,$480,N/A
Box Hill North ,11.6%,6.72%,$472.5,$440
Box Hill South ,23.33%,12.43%,$530,$430
Box Hill ,23.33%,12.43%,$530,$430
Braeside ,N/A,N/A,N/A,N/A
Braybrook ,15.82%,5.17%,$360,$400
Breakwater ,30.26%,N/A,$370,N/A
Briar Hill ,20.43%,15.86%,$550,$405
Bright ,36.62%,N/A,N/A,$360
Brighton East ,15.07%,1.57%,$850,$650
Brighton ,-1.02%,25%,$1100,$595
Broadford ,7.84%,N/A,$370,$325
Broadmeadows ,8.93%,1.47%,$340,$350
Brookfield ,12.1%,N/A,$360,N/A
Brooklyn ,3.66%,0.81%,$410,$385
Brown Hill ,13.43%,17.69%,$390,$315
Brunswick East ,-2.11%,17.76%,$600,$400
Brunswick West ,6.72%,0.93%,$572.5,$350
Brunswick ,16.26%,-0.08%,$620,$400
Buffalo ,N/A,N/A,N/A,N/A
Bulla ,N/A,N/A,N/A,N/A
Bulleen ,18.7%,-4.84%,$510,$440
Bundalong ,N/A,N/A,N/A,N/A
Bundoora ,16.19%,19.05%,$430,$360
Bungaree ,N/A,N/A,N/A,N/A
Buninyong ,10.16%,N/A,$370,N/A
Bunyip ,32.74%,N/A,$450,N/A
Burnley ,N/A,N/A,$687.5,N/A
Burnside Heights ,9.53%,N/A,$430,N/A
Burnside ,16.59%,N/A,$440,N/A
Burwood East ,18.13%,N/A,$460,$445
Burwood ,6.99%,13.38%,$505,$400
Cairnlea ,10.83%,-5.08%,$450,$392.5
California Gully ,34.48%,N/A,$385,$310
Camberwell ,18.64%,10.98%,$850,$450
Campbellfield ,5.22%,N/A,$380,N/A
Campbells Creek ,12.3%,N/A,$450,N/A
Camperdown ,29.84%,N/A,$345,N/A
Canadian ,21.35%,37.93%,$400,$335
Canterbury ,18.91%,-13.36%,$1037.5,$465
Cape Paterson ,42.93%,N/A,$1407.5,N/A
Cape Schanck ,3.37%,N/A,N/A,N/A
Cape Woolamai ,34.32%,N/A,$400,N/A
Carlton North ,5.7%,-1.59%,$672.5,$430
Carlton ,17.49%,9.89%,$650,$330
Carnegie ,14.1%,0.85%,$595,$380
Caroline Springs ,11.27%,0.53%,$430,$380
Carrum Downs ,18.38%,19.7%,$440,$400
Carrum ,1.92%,7.47%,$450,$470
Casterton ,28.57%,N/A,N/A,N/A
Castlemaine ,12.1%,19.08%,$420,$347.5
